election_date,election_year,origin_date,horizon_days,model,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,energy_score,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections,seed,samples
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,M,True,19.8356,21.7559,16.4579,17.684,19.6349,21.6522,23.7737,26.0447,27.5172,27.56,1.8166,1.153174,3.932884,True,True,True,4.1389,8.3606,11.0593,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,L,True,5.4896,4.6917,3.1458,3.3746,3.8935,4.6696,5.4766,6.0138,6.2716,75.3,0.82,0.469446,3.932884,False,True,True,1.5831,2.6392,3.1258,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,C,True,8.6077,9.3055,6.8326,7.3905,8.2749,9.2451,10.2478,11.2536,12.0448,32.98,0.6373,0.455618,3.932884,True,True,True,1.9729,3.8631,5.2122,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,KD,True,6.3223,3.1181,1.8386,2.0282,2.3963,3.1605,3.8337,4.1961,4.3755,100.0,3.1618,2.724664,3.932884,False,False,False,1.4374,2.1678,2.5369,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,S,True,28.261,25.5138,21.1581,22.2891,23.6458,25.4834,27.3348,28.7063,29.771,85.44,2.7776,1.666201,3.932884,False,True,True,3.689,6.4172,8.6128,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,V,True,8.0049,8.5104,6.4822,6.8657,7.7227,8.493,9.3207,10.1438,10.4937,32.66,0.4881,0.367068,3.932884,True,True,True,1.5979,3.2781,4.0115,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,MP,True,4.4143,4.2161,2.0616,2.4071,3.2628,4.2166,5.2053,5.9712,6.2885,56.52,0.1976,0.334586,3.932884,True,True,True,1.9425,3.5641,4.2269,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,SD,True,17.534,19.7646,15.5848,16.621,17.9865,19.725,21.4522,23.1297,24.0756,19.36,2.191,1.29194,3.932884,False,True,True,3.4657,6.5087,8.4908,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,REST,False,1.5307,3.1239,2.1017,2.2807,2.6747,3.1227,3.5678,3.9555,4.1486,0.2,1.592,1.233666,3.932884,False,False,False,0.8932,1.6748,2.0469,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,M,True,19.8356,20.536,16.8933,18.2636,19.1488,20.4439,21.8775,22.8355,24.6059,39.3,0.6083,0.54215,4.528287,True,True,True,2.7286,4.5719,7.7126,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,L,True,5.4896,4.8914,4.1959,4.3029,4.5421,4.8624,5.2289,5.5255,5.6799,88.56,0.6272,0.38137,4.528287,False,True,True,0.6868,1.2226,1.484,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,C,True,8.6077,9.405,7.6675,8.1519,8.7661,9.347,9.9744,10.7066,11.3111,19.64,0.7392,0.456259,4.528287,False,True,True,1.2083,2.5548,3.6436,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,KD,True,6.3223,3.006,2.5679,2.6647,2.8108,2.9945,3.1828,3.3757,3.4759,100.0,3.3278,3.161651,4.528287,False,False,False,0.372,0.711,0.9081,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,S,True,28.261,25.0663,22.9113,23.4842,24.188,25.0412,25.9116,26.6798,27.2503,97.68,3.2198,2.467273,4.528287,False,False,False,1.7236,3.1956,4.3389,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
2018-09-09,2018,2018-06-17,84,base,V,True,8.0049,9.1806,8.3052,8.4888,8.8103,9.1652,9.5292,9.8883,10.1209,1.08,1.1603,0.872344,4.528287,False,False,False,0.7188,1.3994,1.8157,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",12345,5000
