forecast_cases_count,party_rows_count,MAE_8parties,mean_CRPS_8parties,MAE_all9,mean_CRPS_all9,REST_CRPS,EnergyScore_all9,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,mean_lambda,fraction_lambda_lt_0_90,model,horizon_days
2,18,1.4588062499999999,1.0409789374999998,1.4129499999999997,1.0197988333333334,0.850358,3.6001235,0.2777777777777778,0.5555555555555556,0.6666666666666666,1.4130166666666666,2.7854277777777776,3.891605555555555,1.0,0.0,base,112
2,18,1.4535375,1.1089212499999999,1.3754777777777776,1.0564205555555555,0.6364150000000001,3.822203,0.2777777777777778,0.5,0.5555555555555556,1.2151555555555555,2.354016666666667,3.2646666666666664,1.0,0.0,base,84
2,18,1.3112062500000001,1.0272925625,1.2389444444444444,0.9772433333333334,0.5768495,3.5784535,0.2222222222222222,0.3888888888888889,0.5555555555555556,0.9727611111111111,1.8990444444444445,2.5531166666666665,1.0,0.0,base,56
2,18,1.09890625,0.8612591875,1.043627777777778,0.826146,0.5452405,2.925969,0.2777777777777778,0.3888888888888889,0.5,0.7088,1.3597777777777778,1.7792000000000003,1.0,0.0,base,28
2,18,0.77739375,0.6108638750000001,0.7526166666666667,0.5930799444444445,0.45080850000000006,2.0583514999999997,0.2222222222222222,0.2777777777777778,0.5,0.4868555555555556,0.9331166666666668,1.2057166666666665,1.0,0.0,base,14
2,18,0.5766,0.4468695,0.5634555555555556,0.43701094444444444,0.3581425,1.5346125000000002,0.2777777777777778,0.5,0.5,0.42425,0.8132888888888888,1.0485444444444445,1.0,0.0,base,7
2,18,1.49858125,1.0291561875,1.4539666666666669,1.0088154999999999,0.84609,3.5703875000000003,0.3888888888888889,0.7222222222222222,0.8333333333333334,1.8804,3.586983333333333,4.668394444444445,0.9998,0.0009,pp_centered_noise,112
2,18,1.4805000000000001,1.0820705000000002,1.4058166666666665,1.0327206111111114,0.6379215,3.7361859999999996,0.3888888888888889,0.6111111111111112,0.6666666666666666,1.7108833333333333,3.2286888888888887,4.139383333333334,0.99945,0.0018,pp_centered_noise,84
2,18,1.32463125,0.9845807499999999,1.256877777777778,0.9390867222222224,0.5751345,3.4610605000000003,0.3333333333333333,0.6111111111111112,0.6666666666666666,1.5603833333333332,2.900433333333334,3.644577777777778,0.9994999999999999,0.0018,pp_centered_noise,56
2,18,1.06625,0.7748990625000001,1.0194833333333333,0.7479156666666668,0.5320485,2.798673,0.3888888888888889,0.6666666666666666,0.6666666666666666,1.4131055555555556,2.5791888888888894,3.132538888888889,0.9994000000000001,0.0026,pp_centered_noise,28
2,18,0.75350625,0.532926,0.7269777777777777,0.5202995,0.4192875,2.0267019999999993,0.5555555555555556,0.7222222222222222,0.8333333333333334,1.32005,2.376011111111111,2.7709888888888887,0.9984,0.006199999999999999,pp_centered_noise,14
2,18,0.56356875,0.40381700000000004,0.5458111111111111,0.3948795,0.3233795,1.6030944999999999,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.3079555555555558,2.3301833333333333,2.67685,0.99855,0.005900000000000001,pp_centered_noise,7
2,18,1.468225,0.9823781250000001,1.4253333333333333,0.9631944444444446,0.809725,3.5764574999999996,0.5,0.8333333333333334,0.8888888888888888,2.322938888888889,4.344105555555554,5.547083333333334,0.9981000000000001,0.006699999999999999,pp_symmetric_noise,112
2,18,1.4413375,1.02288475,1.3676777777777778,0.9761110000000001,0.601921,3.7069484999999998,0.3888888888888889,0.7777777777777778,0.8888888888888888,2.1826444444444446,4.065361111111112,5.119,0.9960500000000001,0.0137,pp_symmetric_noise,84
2,18,1.3121875,0.941483875,1.243372222222222,0.8975088333333332,0.5457085,3.4172645,0.4444444444444444,0.7222222222222222,0.8888888888888888,2.0477333333333334,3.778194444444444,4.677083333333333,0.9957999999999999,0.0147,pp_symmetric_noise,56
2,18,1.0832562499999998,0.754703625,1.0338888888888889,0.7271068333333334,0.5063325000000001,2.7439265,0.4444444444444444,0.8333333333333334,0.8888888888888888,1.924866666666667,3.5642555555555555,4.324822222222222,0.9957499999999998,0.015000000000000001,pp_symmetric_noise,28
2,18,0.7762625,0.5557091875,0.7515222222222223,0.5386931666666667,0.402565,2.0564035,0.6666666666666666,0.8888888888888888,0.9444444444444444,1.791261111111111,3.4545388888888886,4.104055555555555,0.9901499999999999,0.0321,pp_symmetric_noise,14
2,18,0.5627375,0.45862031249999996,0.5496666666666666,0.44280155555555556,0.3162515,1.7113695,0.7222222222222222,1.0,1.0,1.7672611111111112,3.4641,4.072033333333334,0.9897500000000002,0.0348,pp_symmetric_noise,7
