horizon_days,party,starting_bin,bin_low_pct,bin_high_pct,n_transitions,median_starting_share,median_signed_change_pp,mean_absolute_change_pp,variance_change,skewness_change,crossing_upward_prob,crossing_downward_prob
28,L,"[4.0, 4.5)",4.0,4.5,188,4.1,-0.1,0.23,0.0626,1.504,,0.4468
28,KD,"[4.0, 4.5)",4.0,4.5,386,4.2,0.0,0.208,0.1199,3.222,,0.2435
28,MP,"[4.0, 4.5)",4.0,4.5,1422,4.2,0.0,0.134,0.0353,1.019,,0.0985
28,C,"[4.0, 4.5)",4.0,4.5,347,4.3,0.0,0.138,0.0349,1.375,,0.0
28,L,"[4.5, 5.0)",4.5,5.0,439,4.8,0.0,0.213,0.071,-0.074,,0.0
28,KD,"[4.5, 5.0)",4.5,5.0,384,4.7,0.0,0.237,0.0893,1.265,,0.0
28,MP,"[4.5, 5.0)",4.5,5.0,681,4.6,0.0,0.205,0.0744,0.709,,0.0
28,C,"[4.5, 5.0)",4.5,5.0,468,4.7,0.0,0.204,0.0739,0.785,,0.0
28,L,"[5.0, 6.0)",5.0,6.0,1129,5.4,-0.1,0.205,0.067,-0.105,,0.0
28,KD,"[5.0, 6.0)",5.0,6.0,537,5.4,0.0,0.263,0.1048,0.338,,0.0
28,MP,"[5.0, 6.0)",5.0,6.0,819,5.5,-0.1,0.229,0.0943,0.097,,0.0
28,C,"[5.0, 6.0)",5.0,6.0,469,5.3,-0.1,0.232,0.0753,0.687,,0.0
28,V,"[5.0, 6.0)",5.0,6.0,64,5.65,0.3,0.292,0.0721,-0.523,,0.0
56,L,"[2.0, 3.0)",2.0,3.0,1067,2.6,0.0,0.258,0.1665,2.393,0.0253,
56,KD,"[2.0, 3.0)",2.0,3.0,10,2.9,0.5,0.46,0.0024,-0.408,0.0,
56,L,"[3.0, 3.5)",3.0,3.5,913,3.3,-0.1,0.19,0.0854,3.006,0.0175,
56,KD,"[3.0, 3.5)",3.0,3.5,1225,3.3,0.1,0.245,0.1765,3.346,0.0384,
56,MP,"[3.0, 3.5)",3.0,3.5,183,3.2,0.1,0.377,0.2449,1.044,0.2131,
56,L,"[3.5, 4.0)",3.5,4.0,484,3.8,0.0,0.24,0.1213,1.992,0.1426,
56,KD,"[3.5, 4.0)",3.5,4.0,990,3.7,-0.1,0.214,0.1307,4.346,0.1303,
56,MP,"[3.5, 4.0)",3.5,4.0,410,3.8,0.2,0.366,0.1685,0.747,0.5707,
56,L,"[4.0, 4.5)",4.0,4.5,188,4.1,-0.2,0.409,0.2164,1.842,,0.734
56,KD,"[4.0, 4.5)",4.0,4.5,386,4.2,-0.1,0.32,0.1874,1.898,,0.3964
56,MP,"[4.0, 4.5)",4.0,4.5,1422,4.2,0.0,0.249,0.1179,0.925,,0.192
56,C,"[4.0, 4.5)",4.0,4.5,347,4.3,0.1,0.277,0.1294,1.361,,0.0
56,L,"[4.5, 5.0)",4.5,5.0,439,4.8,0.2,0.366,0.1852,-0.633,,0.0683
56,KD,"[4.5, 5.0)",4.5,5.0,384,4.7,0.25,0.405,0.209,0.172,,0.0208
56,MP,"[4.5, 5.0)",4.5,5.0,681,4.6,-0.1,0.3,0.1479,1.025,,0.0
56,C,"[4.5, 5.0)",4.5,5.0,468,4.7,0.0,0.349,0.1949,0.63,,0.0
56,L,"[5.0, 6.0)",5.0,6.0,1129,5.4,-0.1,0.357,0.1851,-0.168,,0.0
56,KD,"[5.0, 6.0)",5.0,6.0,536,5.4,0.1,0.476,0.3008,0.155,,0.0
56,MP,"[5.0, 6.0)",5.0,6.0,819,5.5,-0.1,0.384,0.2695,0.154,,0.0
56,C,"[5.0, 6.0)",5.0,6.0,469,5.3,-0.2,0.387,0.1962,0.723,,0.0
56,V,"[5.0, 6.0)",5.0,6.0,64,5.65,0.5,0.453,0.0455,-1.163,,0.0
84,L,"[2.0, 3.0)",2.0,3.0,1060,2.6,0.0,0.348,0.3459,2.529,0.0519,
84,KD,"[2.0, 3.0)",2.0,3.0,10,2.9,0.5,0.5,0.0,,0.0,
84,L,"[3.0, 3.5)",3.0,3.5,913,3.3,-0.1,0.251,0.1472,3.523,0.0175,
84,KD,"[3.0, 3.5)",3.0,3.5,1225,3.3,0.1,0.322,0.35,3.175,0.0629,
84,MP,"[3.0, 3.5)",3.0,3.5,183,3.2,0.3,0.68,0.5877,0.549,0.3661,
84,L,"[3.5, 4.0)",3.5,4.0,484,3.8,0.0,0.311,0.1831,1.475,0.188,
84,KD,"[3.5, 4.0)",3.5,4.0,990,3.7,-0.1,0.248,0.145,3.445,0.1566,
84,MP,"[3.5, 4.0)",3.5,4.0,410,3.8,0.4,0.499,0.2069,-0.044,0.7561,
84,L,"[4.0, 4.5)",4.0,4.5,188,4.1,-0.3,0.456,0.1967,1.359,,0.8511
84,KD,"[4.0, 4.5)",4.0,4.5,386,4.2,-0.1,0.391,0.2504,1.252,,0.456
84,MP,"[4.0, 4.5)",4.0,4.5,1422,4.2,0.0,0.319,0.1961,0.719,,0.2511
84,C,"[4.0, 4.5)",4.0,4.5,347,4.3,0.2,0.399,0.206,0.812,,0.0
84,L,"[4.5, 5.0)",4.5,5.0,439,4.8,0.3,0.486,0.3242,-0.869,,0.1298
84,KD,"[4.5, 5.0)",4.5,5.0,384,4.7,0.4,0.549,0.3428,-0.018,,0.0339
84,MP,"[4.5, 5.0)",4.5,5.0,681,4.6,-0.2,0.374,0.2466,1.989,,0.0294
84,C,"[4.5, 5.0)",4.5,5.0,468,4.7,0.0,0.436,0.3132,0.685,,0.0
84,L,"[5.0, 6.0)",5.0,6.0,1129,5.4,-0.2,0.452,0.2939,-0.26,,0.0257
84,KD,"[5.0, 6.0)",5.0,6.0,514,5.3,0.2,0.681,0.6058,0.343,,0.0
84,MP,"[5.0, 6.0)",5.0,6.0,819,5.5,-0.1,0.498,0.4235,0.089,,0.0
84,C,"[5.0, 6.0)",5.0,6.0,469,5.3,-0.3,0.482,0.2859,0.48,,0.0
84,V,"[5.0, 6.0)",5.0,6.0,64,5.65,0.6,0.602,0.0155,-1.053,,0.0
112,L,"[2.0, 3.0)",2.0,3.0,1032,2.6,0.0,0.445,0.5713,2.365,0.0804,
112,KD,"[2.0, 3.0)",2.0,3.0,10,2.9,0.2,0.24,0.0024,0.408,0.0,
112,L,"[3.0, 3.5)",3.0,3.5,913,3.3,-0.2,0.283,0.142,2.726,0.0175,
112,KD,"[3.0, 3.5)",3.0,3.5,1225,3.3,0.1,0.376,0.4794,2.888,0.0833,
112,MP,"[3.0, 3.5)",3.0,3.5,183,3.2,0.9,0.926,0.6787,0.05,0.5191,
112,L,"[3.5, 4.0)",3.5,4.0,484,3.8,-0.1,0.34,0.1699,0.412,0.2169,
112,KD,"[3.5, 4.0)",3.5,4.0,990,3.7,-0.1,0.285,0.1875,3.426,0.1505,
112,MP,"[3.5, 4.0)",3.5,4.0,410,3.8,0.5,0.603,0.2582,-0.283,0.8439,
112,L,"[4.0, 4.5)",4.0,4.5,188,4.1,-0.3,0.429,0.116,0.163,,0.9255
112,KD,"[4.0, 4.5)",4.0,4.5,386,4.2,0.0,0.509,0.4303,1.286,,0.4249
112,MP,"[4.0, 4.5)",4.0,4.5,1422,4.2,0.0,0.355,0.2688,0.966,,0.2567
112,C,"[4.0, 4.5)",4.0,4.5,347,4.3,0.2,0.434,0.1995,0.473,,0.0
112,L,"[4.5, 5.0)",4.5,5.0,439,4.8,0.3,0.567,0.4384,-0.774,,0.1298
112,KD,"[4.5, 5.0)",4.5,5.0,384,4.7,0.45,0.672,0.4878,0.024,,0.0859
112,MP,"[4.5, 5.0)",4.5,5.0,681,4.6,-0.3,0.468,0.3469,1.754,,0.0822
112,C,"[4.5, 5.0)",4.5,5.0,468,4.7,0.0,0.519,0.4193,0.709,,0.0
112,L,"[5.0, 6.0)",5.0,6.0,1129,5.4,-0.3,0.516,0.3949,-0.495,,0.0753
112,KD,"[5.0, 6.0)",5.0,6.0,486,5.4,-0.3,0.841,1.073,0.96,,0.0
112,MP,"[5.0, 6.0)",5.0,6.0,819,5.5,-0.2,0.6,0.5674,0.158,,0.0244
112,C,"[5.0, 6.0)",5.0,6.0,469,5.3,-0.3,0.545,0.3665,0.107,,0.0
112,V,"[5.0, 6.0)",5.0,6.0,64,5.65,0.9,0.803,0.0525,-0.576,,0.0
