origin_date,horizon_days,target_date,calendar_block_6m,calendar_block_12m,pool_size,es_arm_a_v2,crps_arm_a_v2,es_arm_b_recent,crps_arm_b_recent,es_arm_c_50nn,crps_arm_c_50nn,es_arm_d_raw,crps_arm_d_raw,es_arm_c_25nn,crps_arm_c_25nn,es_arm_c_100nn,crps_arm_c_100nn,diff_es_v2_minus_50nn,diff_es_recent_minus_50nn,diff_es_50nn_minus_raw,diff_crps_v2_minus_50nn,diff_crps_recent_minus_50nn
2015-01-14,7,2015-01-21,2015-H1,2015,115,0.26107,0.07332,0.2644,0.06917,0.26245,0.06905,0.33804,0.09268,0.24822,0.06601,0.25873,0.07155,-0.00138,0.00195,-0.0756,0.00427,0.00012
2015-01-14,14,2015-01-28,2015-H1,2015,108,0.39746,0.11542,0.43052,0.11738,0.42516,0.11739,0.7312,0.206,0.41816,0.11549,0.3901,0.11263,-0.02769,0.00537,-0.30604,-0.00197,-1e-05
2015-01-14,28,2015-02-11,2015-H1,2015,94,0.65578,0.18552,0.7547,0.19628,0.67432,0.18876,1.34826,0.38757,0.76589,0.20297,0.64714,0.18238,-0.01854,0.08039,-0.67394,-0.00323,0.00752
2015-01-14,56,2015-03-11,2015-H1,2015,66,1.42354,0.3777,1.46889,0.37465,1.44034,0.37441,3.00813,0.83007,1.48045,0.37377,1.39779,0.37274,-0.0168,0.02855,-1.56779,0.00329,0.00024
2015-01-21,7,2015-01-28,2015-H1,2015,122,0.20119,0.0575,0.19294,0.05375,0.19238,0.05313,0.31777,0.0921,0.19727,0.05229,0.19129,0.05365,0.00881,0.00056,-0.12539,0.00437,0.00062
2015-01-21,14,2015-02-04,2015-H1,2015,115,0.28329,0.07952,0.31702,0.08689,0.29561,0.08139,0.52877,0.14945,0.29783,0.08256,0.28216,0.07795,-0.01232,0.02141,-0.23316,-0.00187,0.0055
2015-01-21,28,2015-02-18,2015-H1,2015,101,0.59227,0.16278,0.65818,0.17011,0.60236,0.16094,1.23848,0.34518,0.6226,0.16031,0.59994,0.16411,-0.01009,0.05583,-0.63613,0.00184,0.00917
2015-01-21,56,2015-03-18,2015-H1,2015,73,1.48553,0.38214,1.55557,0.38456,1.5299,0.37873,3.49824,0.92266,1.52873,0.37695,1.52319,0.39116,-0.04437,0.02567,-1.96834,0.00341,0.00583
2015-01-28,7,2015-02-04,2015-H1,2015,129,0.15865,0.0419,0.14833,0.03712,0.14795,0.03798,0.20719,0.05131,0.13874,0.03511,0.15224,0.03862,0.0107,0.00038,-0.05924,0.00392,-0.00086
2015-01-28,14,2015-02-11,2015-H1,2015,122,0.31877,0.08729,0.32397,0.08799,0.32189,0.0864,0.53567,0.14453,0.31696,0.08443,0.3196,0.08614,-0.00312,0.00208,-0.21378,0.00089,0.00159
2015-01-28,28,2015-02-25,2015-H1,2015,108,0.62919,0.15965,0.66022,0.16459,0.62038,0.15636,1.10545,0.29246,0.62996,0.15906,0.62923,0.15941,0.00881,0.03984,-0.48507,0.00329,0.00823
2015-01-28,56,2015-03-25,2015-H1,2015,80,1.71349,0.40667,1.76475,0.39722,1.75498,0.39635,3.84998,0.95068,1.75211,0.39636,1.74782,0.41565,-0.0415,0.00977,-2.09499,0.01032,0.00087
2015-01-28,84,2015-04-22,2015-H1,2015,52,3.21115,0.74211,3.19001,0.73494,3.19828,0.73754,5.63253,1.39155,3.22355,0.72296,3.24895,0.75202,0.01287,-0.00827,-2.43425,0.00456,-0.0026
2015-02-04,7,2015-02-11,2015-H1,2015,136,0.20398,0.05259,0.19728,0.0506,0.1981,0.05081,0.24624,0.06412,0.20255,0.04791,0.20085,0.05152,0.00588,-0.00082,-0.04814,0.00178,-0.00022
2015-02-04,14,2015-02-18,2015-H1,2015,129,0.31548,0.08591,0.3008,0.07992,0.30037,0.07884,0.43695,0.11437,0.30338,0.07625,0.30353,0.08078,0.01511,0.00043,-0.13658,0.00707,0.00108
2015-02-04,28,2015-03-04,2015-H1,2015,115,0.71011,0.17493,0.73641,0.17453,0.70751,0.17374,1.10467,0.29042,0.7641,0.18975,0.71026,0.17329,0.00259,0.02889,-0.39715,0.00119,0.0008
2015-02-04,56,2015-04-01,2015-H1,2015,87,2.09289,0.47134,2.14313,0.45304,2.10161,0.4533,4.03952,0.95117,2.13718,0.45942,2.05293,0.46411,-0.00872,0.04152,-1.93791,0.01805,-0.00026
2015-02-04,84,2015-04-29,2015-H1,2015,59,3.31439,0.76031,3.33087,0.75517,3.31309,0.74854,5.89521,1.40236,3.33162,0.72937,3.30191,0.75748,0.0013,0.01778,-2.58212,0.01177,0.00662
2015-02-11,7,2015-02-18,2015-H1,2015,143,0.17456,0.04514,0.1554,0.03973,0.15533,0.03911,0.15596,0.03852,0.14504,0.03426,0.16232,0.04054,0.01923,7e-05,-0.00063,0.00603,0.00062
2015-02-11,14,2015-02-25,2015-H1,2015,136,0.33173,0.08095,0.31717,0.07607,0.32073,0.07791,0.32582,0.08612,0.32387,0.07554,0.32441,0.07689,0.011,-0.00356,-0.00509,0.00304,-0.00184
2015-02-11,28,2015-03-11,2015-H1,2015,122,0.89037,0.20548,0.88504,0.19944,0.88796,0.21038,1.0884,0.28377,0.98567,0.23523,0.90334,0.20725,0.00241,-0.00291,-0.20044,-0.0049,-0.01094
2015-02-11,56,2015-04-08,2015-H1,2015,94,2.26535,0.49355,2.35384,0.47742,2.33684,0.50577,3.83761,0.89038,2.41017,0.52148,2.27113,0.49375,-0.07149,0.017,-1.50078,-0.01222,-0.02834
2015-02-11,84,2015-05-06,2015-H1,2015,66,3.3996,0.76155,3.44194,0.7506,3.44062,0.7562,5.95537,1.37203,3.47516,0.76937,3.40248,0.76006,-0.04102,0.00131,-2.51474,0.00535,-0.0056
2015-02-18,7,2015-02-25,2015-H1,2015,150,0.26129,0.05931,0.26831,0.06046,0.26834,0.0597,0.27875,0.07178,0.27693,0.06211,0.26179,0.05867,-0.00704,-3e-05,-0.01041,-0.00039,0.00076
2015-02-18,14,2015-03-04,2015-H1,2015,143,0.48825,0.11411,0.53017,0.12847,0.52711,0.12746,0.58596,0.1595,0.56536,0.13806,0.53169,0.12363,-0.03887,0.00305,-0.05885,-0.01336,0.00101
2015-02-18,28,2015-03-18,2015-H1,2015,129,1.06131,0.24282,1.11264,0.2512,1.13671,0.25918,1.26235,0.30973,1.25347,0.29396,1.09402,0.24961,-0.0754,-0.02407,-0.12563,-0.01636,-0.00798
2015-02-18,56,2015-04-15,2015-H1,2015,101,2.64237,0.5644,2.70859,0.54106,2.73884,0.5957,4.02442,0.92453,2.82812,0.6144,2.7035,0.5805,-0.09646,-0.03025,-1.28558,-0.0313,-0.05464
2015-02-18,84,2015-05-13,2015-H1,2015,73,3.46702,0.75518,3.5208,0.72373,3.52332,0.74074,5.84362,1.28155,3.54991,0.75143,3.45675,0.75418,-0.0563,-0.00252,-2.3203,0.01444,-0.01701
