election_date,election_year,party,party_source_name,votes,vote_share,source_vote_share,valid_votes_total,source_url,retrieved_at
2014-09-14,2014,V,Vänsterpartiet,356331,5.7182,5.72,6231573,https://historik.val.se/val/val2014/slutresultat/R/rike/index.html,2026-08-26T10:26:24.124625+00:00
2014-09-14,2014,MP,Miljöpartiet de gröna,429275,6.8887,6.89,6231573,https://historik.val.se/val/val2014/slutresultat/R/rike/index.html,2026-08-26T10:26:24.124625+00:00
2014-09-14,2014,SD,Sverigedemokraterna,801178,12.8568,12.86,6231573,https://historik.val.se/val/val2014/slutresultat/R/rike/index.html,2026-08-26T10:26:24.124625+00:00
2014-09-14,2014,FI,Feministiskt initiativ,194719,3.1247,3.12,6231573,https://historik.val.se/val/val2014/slutresultat/R/rike/index.html,2026-08-26T10:26:24.124625+00:00
2014-09-14,2014,OTHER,Övriga partier,60326,0.9681,0.98,6231573,https://historik.val.se/val/val2014/slutresultat/R/rike/index.html,2026-08-26T10:26:24.124625+00:00
2018-09-09,2018,M,Moderaterna,1284698,19.8356,19.84,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,L,Liberalerna (tidigare Folkpartiet),355546,5.4896,5.49,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,C,Centerpartiet,557500,8.6077,8.61,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,KD,Kristdemokraterna,409478,6.3223,6.32,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,S,Arbetarepartiet-Socialdemokraterna,1830386,28.261,28.26,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,V,Vänsterpartiet,518454,8.0049,8.0,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,MP,Miljöpartiet de gröna,285899,4.4143,4.41,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,SD,Sverigedemokraterna,1135627,17.534,17.53,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,FI,Feministiskt initiativ,29665,0.458,0.46,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2018-09-09,2018,OTHER,Övriga partier,69472,1.0726,1.06,6476725,https://historik.val.se/val/val2018/slutresultat/R/rike/index.html,2026-08-26T10:26:24.225160+00:00
2022-09-11,2022,M,Moderaterna,1237428,19.1021,19.1,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,L,Liberalerna (tidigare Folkpartiet),298542,4.6086,4.61,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,C,Centerpartiet,434945,6.7142,6.71,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,KD,Kristdemokraterna,345712,5.3367,5.34,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,S,Arbetarepartiet-Socialdemokraterna,1964474,30.3255,30.33,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,V,Vänsterpartiet,437050,6.7467,6.75,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,MP,Miljöpartiet de gröna,329242,5.0825,5.08,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,SD,Sverigedemokraterna,1330325,20.5361,20.54,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,FI,Feministiskt initiativ,3157,0.0487,0.05,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
2022-09-11,2022,OTHER,Övriga partier,97095,1.4988,1.48,6477970,https://resultat.val.se/data/resultat/val2022/RD_S.json,2026-08-26T10:26:24.349826+00:00
