model,tier,target_year,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
CONTROL_pp_centered_noise,tier3_iso,2014,12345,65,M+MP,0.0,0,109,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,66,L+MP,0.0,0,44,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,67,M+L+MP,0.0,0,128,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,68,C+MP,0.0,0,47,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,69,M+C+MP,0.0,0,131,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,70,L+C+MP,0.0,0,66,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,71,M+L+C+MP,0.0,0,150,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,72,KD+MP,0.0,0,41,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,73,M+KD+MP,0.0,0,125,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,74,L+KD+MP,0.0,0,60,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,75,M+L+KD+MP,0.0,0,144,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,76,C+KD+MP,0.0,0,63,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,77,M+C+KD+MP,0.0,0,147,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,78,L+C+KD+MP,0.0,0,82,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,79,M+L+C+KD+MP,1.0,0,166,1.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,80,S+MP,0.0,0,138,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,81,M+S+MP,1.0,1,222,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,82,L+S+MP,0.3316,0,157,0.10995856000000001
CONTROL_pp_centered_noise,tier3_iso,2014,12345,83,M+L+S+MP,1.0,1,241,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,84,C+S+MP,0.0,0,160,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,85,M+C+S+MP,1.0,1,244,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,86,L+C+S+MP,1.0,1,179,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,87,M+L+C+S+MP,1.0,1,263,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,88,KD+S+MP,0.0,0,154,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,89,M+KD+S+MP,1.0,1,238,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,90,L+KD+S+MP,1.0,0,173,1.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,91,M+L+KD+S+MP,1.0,1,257,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,92,C+KD+S+MP,1.0,1,176,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,93,M+C+KD+S+MP,1.0,1,260,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,94,L+C+KD+S+MP,1.0,1,195,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,95,M+L+C+KD+S+MP,1.0,1,279,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,96,V+MP,0.0,0,46,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,97,M+V+MP,0.0,0,130,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,98,L+V+MP,0.0,0,65,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,99,M+L+V+MP,0.0,0,149,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,100,C+V+MP,0.0,0,68,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,101,M+C+V+MP,0.0,0,152,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,102,L+C+V+MP,0.0,0,87,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,103,M+L+C+V+MP,1.0,0,171,1.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,104,KD+V+MP,0.0,0,62,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,105,M+KD+V+MP,0.0,0,146,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,106,L+KD+V+MP,0.0,0,81,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,107,M+L+KD+V+MP,0.6684,0,165,0.44675855999999997
CONTROL_pp_centered_noise,tier3_iso,2014,12345,108,C+KD+V+MP,0.0,0,84,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,109,M+C+KD+V+MP,0.6684,0,168,0.44675855999999997
CONTROL_pp_centered_noise,tier3_iso,2014,12345,110,L+C+KD+V+MP,0.0,0,103,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,111,M+L+C+KD+V+MP,1.0,1,187,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,112,S+V+MP,0.0,0,159,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,113,M+S+V+MP,1.0,1,243,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,114,L+S+V+MP,1.0,1,178,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,115,M+L+S+V+MP,1.0,1,262,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,116,C+S+V+MP,1.0,1,181,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,117,M+C+S+V+MP,1.0,1,265,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,118,L+C+S+V+MP,1.0,1,200,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,119,M+L+C+S+V+MP,1.0,1,284,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,120,KD+S+V+MP,1.0,1,175,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,121,M+KD+S+V+MP,1.0,1,259,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,122,L+KD+S+V+MP,1.0,1,194,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,123,M+L+KD+S+V+MP,1.0,1,278,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,124,C+KD+S+V+MP,1.0,1,197,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,125,M+C+KD+S+V+MP,1.0,1,281,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,126,L+C+KD+S+V+MP,1.0,1,216,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,127,M+L+C+KD+S+V+MP,1.0,1,300,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,128,SD,0.0,0,49,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,129,M+SD,0.0,0,133,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,130,L+SD,0.0,0,68,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,131,M+L+SD,0.0,0,152,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,132,C+SD,0.0,0,71,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,133,M+C+SD,0.0,0,155,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,134,L+C+SD,0.0,0,90,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,135,M+L+C+SD,0.0,0,174,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,136,KD+SD,0.0,0,65,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,137,M+KD+SD,0.0,0,149,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,138,L+KD+SD,0.0,0,84,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,139,M+L+KD+SD,0.0,0,168,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,140,C+KD+SD,0.0,0,87,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,141,M+C+KD+SD,0.0,0,171,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,142,L+C+KD+SD,0.0,0,106,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,143,M+L+C+KD+SD,1.0,1,190,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,144,S+SD,0.0,0,162,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,145,M+S+SD,1.0,1,246,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,146,L+S+SD,0.3316,1,181,0.44675855999999997
CONTROL_pp_centered_noise,tier3_iso,2014,12345,147,M+L+S+SD,1.0,1,265,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,148,C+S+SD,0.3316,1,184,0.44675855999999997
CONTROL_pp_centered_noise,tier3_iso,2014,12345,149,M+C+S+SD,1.0,1,268,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,150,L+C+S+SD,1.0,1,203,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,151,M+L+C+S+SD,1.0,1,287,0.0
CONTROL_pp_centered_noise,tier3_iso,2014,12345,152,KD+S+SD,0.0,1,178,1.0
