wave,survey_date,period,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2012M05,2012-05-01,2012-05,SD,SD,SD,parliamentary_party,5.4,0.6,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,c,C,C,parliamentary_party,5.0,0.5,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,kd,KD,KD,parliamentary_party,3.7,0.4,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,l,L,L,parliamentary_party,5.3,0.5,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,m,M,M,parliamentary_party,28.4,0.9,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,mp,MP,MP,parliamentary_party,7.9,0.6,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,s,S,S,parliamentary_party,37.6,1.0,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,v,V,V,parliamentary_party,6.0,0.6,observed,ME/ME0201/ME0201A/Vid10
2012M05,2012-05-01,2012-05,övr,övriga,OTHER,other_party,0.9,0.3,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,SD,SD,SD,parliamentary_party,8.1,0.7,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,c,C,C,parliamentary_party,4.8,0.5,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,kd,KD,KD,parliamentary_party,4.1,0.4,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,l,L,L,parliamentary_party,5.7,0.5,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,m,M,M,parliamentary_party,27.9,0.9,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,mp,MP,MP,parliamentary_party,8.5,0.7,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,s,S,S,parliamentary_party,34.4,1.0,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,v,V,V,parliamentary_party,5.2,0.5,observed,ME/ME0201/ME0201A/Vid10
2012M11,2012-11-01,2012-11,övr,övriga,OTHER,other_party,1.3,0.3,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,SD,SD,SD,parliamentary_party,7.7,0.7,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,c,C,C,parliamentary_party,4.2,0.5,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,kd,KD,KD,parliamentary_party,3.5,0.4,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,l,L,L,parliamentary_party,6.4,0.6,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,m,M,M,parliamentary_party,27.2,1.0,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,mp,MP,MP,parliamentary_party,8.1,0.7,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,s,S,S,parliamentary_party,35.1,1.1,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,v,V,V,parliamentary_party,6.5,0.6,observed,ME/ME0201/ME0201A/Vid10
2013M05,2013-05-01,2013-05,övr,övriga,OTHER,other_party,1.3,0.3,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,SD,SD,SD,parliamentary_party,9.1,0.7,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,c,C,C,parliamentary_party,4.6,0.5,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,kd,KD,KD,parliamentary_party,3.8,0.4,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,l,L,L,parliamentary_party,5.8,0.6,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,m,M,M,parliamentary_party,25.5,0.9,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,mp,MP,MP,parliamentary_party,8.7,0.7,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,s,S,S,parliamentary_party,34.9,1.1,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,v,V,V,parliamentary_party,6.2,0.5,observed,ME/ME0201/ME0201A/Vid10
2013M11,2013-11-01,2013-11,övr,övriga,OTHER,other_party,1.5,0.3,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,SD,SD,SD,parliamentary_party,7.7,0.7,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,c,C,C,parliamentary_party,4.9,0.6,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,kd,KD,KD,parliamentary_party,3.9,0.5,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,l,L,L,parliamentary_party,5.1,0.6,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,m,M,M,parliamentary_party,22.9,1.0,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,mp,MP,MP,parliamentary_party,8.3,0.8,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,s,S,S,parliamentary_party,35.8,1.2,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,s+v+mp,S+V+MP,s+v+mp,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,socialistiskt block,socialistiskt block,socialistiskt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,v,V,V,parliamentary_party,7.6,0.7,observed,ME/ME0201/ME0201A/Vid10
2014M05,2014-05-01,2014-05,övr,övriga,OTHER,other_party,3.8,0.6,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,SD,SD,SD,parliamentary_party,12.2,0.6,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,borgerligt block,borgerligt block,borgerligt block,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,c,C,C,parliamentary_party,6.2,0.4,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,c+fp+m+kd,C+L+M+KD,c+fp+m+kd,composite_block,,,suppressed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,kd,KD,KD,parliamentary_party,3.9,0.4,observed,ME/ME0201/ME0201A/Vid10
2014M11,2014-11-01,2014-11,l,L,L,parliamentary_party,5.4,0.4,observed,ME/ME0201/ME0201A/Vid10
