wave,survey_date,period,kon_code_raw,alder_code_raw,party_code_raw,party_raw,party,party_type,estimate_pct,margin_error_pp,value_status,source_table
2012M11,2012-11-01,2012-11,TOT,tot18+,kd,KD,KD,parliamentary_party,3.7,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2012M11,2012-11-01,2012-11,TOT,tot18+,l,L,L,parliamentary_party,5.9,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2012M11,2012-11-01,2012-11,TOT,tot18+,m,M,M,parliamentary_party,28.7,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2012M11,2012-11-01,2012-11,TOT,tot18+,mp,MP,MP,parliamentary_party,8.1,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2012M11,2012-11-01,2012-11,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2012M11,2012-11-01,2012-11,TOT,tot18+,s,S,S,parliamentary_party,36.0,1.1,observed,ME/ME0201/ME0201B/Partisympati051
2012M11,2012-11-01,2012-11,TOT,tot18+,v,V,V,parliamentary_party,5.3,0.5,observed,ME/ME0201/ME0201B/Partisympati051
2012M11,2012-11-01,2012-11,TOT,tot18+,övr,övriga,OTHER,other_party,1.0,0.3,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,SD,SD,SD,parliamentary_party,7.0,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,c,C,C,parliamentary_party,4.5,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,kd,KD,KD,parliamentary_party,3.4,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,l,L,L,parliamentary_party,6.2,0.6,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,m,M,M,parliamentary_party,27.0,1.0,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,mp,MP,MP,parliamentary_party,8.3,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,nyd,NYD,NYD,historical_party,,,suppressed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,s,S,S,parliamentary_party,35.7,1.2,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,v,V,V,parliamentary_party,6.5,0.7,observed,ME/ME0201/ME0201B/Partisympati051
2013M05,2013-05-01,2013-05,TOT,tot18+,övr,övriga,OTHER,other_party,1.4,0.4,observed,ME/ME0201/ME0201B/Partisympati051
2013M11,2013-11-01,2013-11,TOT,tot18+,SD,SD,SD,parliamentary_party,8.0,0.7,observed,ME/ME0201/ME0201B/Partisympati051
