tier,target_year,seed,mask,parties,p_majority,certified_indicator,certified_coalition_seats,brier
tier3_iso,2014,12345,70,L+C+MP,0.0,0,66,0.0
tier3_iso,2014,12345,71,M+L+C+MP,0.0,0,150,0.0
tier3_iso,2014,12345,72,KD+MP,0.0,0,41,0.0
tier3_iso,2014,12345,73,M+KD+MP,0.0,0,125,0.0
tier3_iso,2014,12345,74,L+KD+MP,0.0,0,60,0.0
tier3_iso,2014,12345,75,M+L+KD+MP,0.0,0,144,0.0
tier3_iso,2014,12345,76,C+KD+MP,0.0,0,63,0.0
tier3_iso,2014,12345,77,M+C+KD+MP,0.0,0,147,0.0
tier3_iso,2014,12345,78,L+C+KD+MP,0.0,0,82,0.0
tier3_iso,2014,12345,79,M+L+C+KD+MP,1.0,0,166,1.0
tier3_iso,2014,12345,80,S+MP,0.0,0,138,0.0
tier3_iso,2014,12345,81,M+S+MP,1.0,1,222,0.0
tier3_iso,2014,12345,82,L+S+MP,0.3316,0,157,0.10995856000000001
tier3_iso,2014,12345,83,M+L+S+MP,1.0,1,241,0.0
tier3_iso,2014,12345,84,C+S+MP,0.0,0,160,0.0
tier3_iso,2014,12345,85,M+C+S+MP,1.0,1,244,0.0
tier3_iso,2014,12345,86,L+C+S+MP,1.0,1,179,0.0
tier3_iso,2014,12345,87,M+L+C+S+MP,1.0,1,263,0.0
tier3_iso,2014,12345,88,KD+S+MP,0.0,0,154,0.0
tier3_iso,2014,12345,89,M+KD+S+MP,1.0,1,238,0.0
tier3_iso,2014,12345,90,L+KD+S+MP,1.0,0,173,1.0
tier3_iso,2014,12345,91,M+L+KD+S+MP,1.0,1,257,0.0
tier3_iso,2014,12345,92,C+KD+S+MP,1.0,1,176,0.0
tier3_iso,2014,12345,93,M+C+KD+S+MP,1.0,1,260,0.0
tier3_iso,2014,12345,94,L+C+KD+S+MP,1.0,1,195,0.0
tier3_iso,2014,12345,95,M+L+C+KD+S+MP,1.0,1,279,0.0
tier3_iso,2014,12345,96,V+MP,0.0,0,46,0.0
tier3_iso,2014,12345,97,M+V+MP,0.0,0,130,0.0
tier3_iso,2014,12345,98,L+V+MP,0.0,0,65,0.0
tier3_iso,2014,12345,99,M+L+V+MP,0.0,0,149,0.0
tier3_iso,2014,12345,100,C+V+MP,0.0,0,68,0.0
tier3_iso,2014,12345,101,M+C+V+MP,0.0,0,152,0.0
tier3_iso,2014,12345,102,L+C+V+MP,0.0,0,87,0.0
tier3_iso,2014,12345,103,M+L+C+V+MP,1.0,0,171,1.0
tier3_iso,2014,12345,104,KD+V+MP,0.0,0,62,0.0
tier3_iso,2014,12345,105,M+KD+V+MP,0.0,0,146,0.0
tier3_iso,2014,12345,106,L+KD+V+MP,0.0,0,81,0.0
tier3_iso,2014,12345,107,M+L+KD+V+MP,0.6684,0,165,0.44675855999999997
tier3_iso,2014,12345,108,C+KD+V+MP,0.0,0,84,0.0
tier3_iso,2014,12345,109,M+C+KD+V+MP,0.6684,0,168,0.44675855999999997
tier3_iso,2014,12345,110,L+C+KD+V+MP,0.0,0,103,0.0
tier3_iso,2014,12345,111,M+L+C+KD+V+MP,1.0,1,187,0.0
tier3_iso,2014,12345,112,S+V+MP,0.0,0,159,0.0
tier3_iso,2014,12345,113,M+S+V+MP,1.0,1,243,0.0
tier3_iso,2014,12345,114,L+S+V+MP,1.0,1,178,0.0
tier3_iso,2014,12345,115,M+L+S+V+MP,1.0,1,262,0.0
tier3_iso,2014,12345,116,C+S+V+MP,1.0,1,181,0.0
tier3_iso,2014,12345,117,M+C+S+V+MP,1.0,1,265,0.0
tier3_iso,2014,12345,118,L+C+S+V+MP,1.0,1,200,0.0
tier3_iso,2014,12345,119,M+L+C+S+V+MP,1.0,1,284,0.0
tier3_iso,2014,12345,120,KD+S+V+MP,1.0,1,175,0.0
tier3_iso,2014,12345,121,M+KD+S+V+MP,1.0,1,259,0.0
tier3_iso,2014,12345,122,L+KD+S+V+MP,1.0,1,194,0.0
tier3_iso,2014,12345,123,M+L+KD+S+V+MP,1.0,1,278,0.0
tier3_iso,2014,12345,124,C+KD+S+V+MP,1.0,1,197,0.0
tier3_iso,2014,12345,125,M+C+KD+S+V+MP,1.0,1,281,0.0
tier3_iso,2014,12345,126,L+C+KD+S+V+MP,1.0,1,216,0.0
tier3_iso,2014,12345,127,M+L+C+KD+S+V+MP,1.0,1,300,0.0
tier3_iso,2014,12345,128,SD,0.0,0,49,0.0
tier3_iso,2014,12345,129,M+SD,0.0,0,133,0.0
tier3_iso,2014,12345,130,L+SD,0.0,0,68,0.0
tier3_iso,2014,12345,131,M+L+SD,0.0,0,152,0.0
tier3_iso,2014,12345,132,C+SD,0.0,0,71,0.0
tier3_iso,2014,12345,133,M+C+SD,0.0,0,155,0.0
tier3_iso,2014,12345,134,L+C+SD,0.0,0,90,0.0
tier3_iso,2014,12345,135,M+L+C+SD,0.0,0,174,0.0
tier3_iso,2014,12345,136,KD+SD,0.0,0,65,0.0
tier3_iso,2014,12345,137,M+KD+SD,0.0,0,149,0.0
tier3_iso,2014,12345,138,L+KD+SD,0.0,0,84,0.0
tier3_iso,2014,12345,139,M+L+KD+SD,0.0,0,168,0.0
tier3_iso,2014,12345,140,C+KD+SD,0.0,0,87,0.0
tier3_iso,2014,12345,141,M+C+KD+SD,0.0,0,171,0.0
tier3_iso,2014,12345,142,L+C+KD+SD,0.0,0,106,0.0
tier3_iso,2014,12345,143,M+L+C+KD+SD,1.0,1,190,0.0
tier3_iso,2014,12345,144,S+SD,0.0,0,162,0.0
tier3_iso,2014,12345,145,M+S+SD,1.0,1,246,0.0
tier3_iso,2014,12345,146,L+S+SD,0.3316,1,181,0.44675855999999997
tier3_iso,2014,12345,147,M+L+S+SD,1.0,1,265,0.0
tier3_iso,2014,12345,148,C+S+SD,0.3316,1,184,0.44675855999999997
tier3_iso,2014,12345,149,M+C+S+SD,1.0,1,268,0.0
tier3_iso,2014,12345,150,L+C+S+SD,1.0,1,203,0.0
tier3_iso,2014,12345,151,M+L+C+S+SD,1.0,1,287,0.0
tier3_iso,2014,12345,152,KD+S+SD,0.0,1,178,1.0
tier3_iso,2014,12345,153,M+KD+S+SD,1.0,1,262,0.0
tier3_iso,2014,12345,154,L+KD+S+SD,1.0,1,197,0.0
tier3_iso,2014,12345,155,M+L+KD+S+SD,1.0,1,281,0.0
tier3_iso,2014,12345,156,C+KD+S+SD,1.0,1,200,0.0
tier3_iso,2014,12345,157,M+C+KD+S+SD,1.0,1,284,0.0
tier3_iso,2014,12345,158,L+C+KD+S+SD,1.0,1,219,0.0
tier3_iso,2014,12345,159,M+L+C+KD+S+SD,1.0,1,303,0.0
tier3_iso,2014,12345,160,V+SD,0.0,0,70,0.0
tier3_iso,2014,12345,161,M+V+SD,0.0,0,154,0.0
tier3_iso,2014,12345,162,L+V+SD,0.0,0,89,0.0
tier3_iso,2014,12345,163,M+L+V+SD,0.0,0,173,0.0
tier3_iso,2014,12345,164,C+V+SD,0.0,0,92,0.0
tier3_iso,2014,12345,165,M+C+V+SD,0.0,1,176,1.0
tier3_iso,2014,12345,166,L+C+V+SD,0.0,0,111,0.0
tier3_iso,2014,12345,167,M+L+C+V+SD,1.0,1,195,0.0
tier3_iso,2014,12345,168,KD+V+SD,0.0,0,86,0.0
tier3_iso,2014,12345,169,M+KD+V+SD,0.0,0,170,0.0
tier3_iso,2014,12345,170,L+KD+V+SD,0.0,0,105,0.0
tier3_iso,2014,12345,171,M+L+KD+V+SD,1.0,1,189,0.0
tier3_iso,2014,12345,172,C+KD+V+SD,0.0,0,108,0.0
tier3_iso,2014,12345,173,M+C+KD+V+SD,0.6684,1,192,0.10995856000000001
tier3_iso,2014,12345,174,L+C+KD+V+SD,0.0,0,127,0.0
tier3_iso,2014,12345,175,M+L+C+KD+V+SD,1.0,1,211,0.0
tier3_iso,2014,12345,176,S+V+SD,0.0,1,183,1.0
tier3_iso,2014,12345,177,M+S+V+SD,1.0,1,267,0.0
tier3_iso,2014,12345,178,L+S+V+SD,1.0,1,202,0.0
tier3_iso,2014,12345,179,M+L+S+V+SD,1.0,1,286,0.0
tier3_iso,2014,12345,180,C+S+V+SD,1.0,1,205,0.0
tier3_iso,2014,12345,181,M+C+S+V+SD,1.0,1,289,0.0
tier3_iso,2014,12345,182,L+C+S+V+SD,1.0,1,224,0.0
tier3_iso,2014,12345,183,M+L+C+S+V+SD,1.0,1,308,0.0
tier3_iso,2014,12345,184,KD+S+V+SD,1.0,1,199,0.0
tier3_iso,2014,12345,185,M+KD+S+V+SD,1.0,1,283,0.0
tier3_iso,2014,12345,186,L+KD+S+V+SD,1.0,1,218,0.0
tier3_iso,2014,12345,187,M+L+KD+S+V+SD,1.0,1,302,0.0
tier3_iso,2014,12345,188,C+KD+S+V+SD,1.0,1,221,0.0
tier3_iso,2014,12345,189,M+C+KD+S+V+SD,1.0,1,305,0.0
tier3_iso,2014,12345,190,L+C+KD+S+V+SD,1.0,1,240,0.0
tier3_iso,2014,12345,191,M+L+C+KD+S+V+SD,1.0,1,324,0.0
tier3_iso,2014,12345,192,MP+SD,0.0,0,74,0.0
tier3_iso,2014,12345,193,M+MP+SD,0.0,0,158,0.0
tier3_iso,2014,12345,194,L+MP+SD,0.0,0,93,0.0
tier3_iso,2014,12345,195,M+L+MP+SD,0.0,1,177,1.0
tier3_iso,2014,12345,196,C+MP+SD,0.0,0,96,0.0
tier3_iso,2014,12345,197,M+C+MP+SD,0.33855,1,180,0.4375161025
tier3_iso,2014,12345,198,L+C+MP+SD,0.0,0,115,0.0
tier3_iso,2014,12345,199,M+L+C+MP+SD,1.0,1,199,0.0
tier3_iso,2014,12345,200,KD+MP+SD,0.0,0,90,0.0
tier3_iso,2014,12345,201,M+KD+MP+SD,0.0,0,174,0.0
tier3_iso,2014,12345,202,L+KD+MP+SD,0.0,0,109,0.0
tier3_iso,2014,12345,203,M+L+KD+MP+SD,1.0,1,193,0.0
tier3_iso,2014,12345,204,C+KD+MP+SD,0.0,0,112,0.0
tier3_iso,2014,12345,205,M+C+KD+MP+SD,1.0,1,196,0.0
tier3_iso,2014,12345,206,L+C+KD+MP+SD,0.0,0,131,0.0
tier3_iso,2014,12345,207,M+L+C+KD+MP+SD,1.0,1,215,0.0
tier3_iso,2014,12345,208,S+MP+SD,0.67015,1,187,0.10880102249999998
tier3_iso,2014,12345,209,M+S+MP+SD,1.0,1,271,0.0
tier3_iso,2014,12345,210,L+S+MP+SD,1.0,1,206,0.0
tier3_iso,2014,12345,211,M+L+S+MP+SD,1.0,1,290,0.0
tier3_iso,2014,12345,212,C+S+MP+SD,1.0,1,209,0.0
tier3_iso,2014,12345,213,M+C+S+MP+SD,1.0,1,293,0.0
tier3_iso,2014,12345,214,L+C+S+MP+SD,1.0,1,228,0.0
tier3_iso,2014,12345,215,M+L+C+S+MP+SD,1.0,1,312,0.0
tier3_iso,2014,12345,216,KD+S+MP+SD,1.0,1,203,0.0
tier3_iso,2014,12345,217,M+KD+S+MP+SD,1.0,1,287,0.0
tier3_iso,2014,12345,218,L+KD+S+MP+SD,1.0,1,222,0.0
tier3_iso,2014,12345,219,M+L+KD+S+MP+SD,1.0,1,306,0.0
tier3_iso,2014,12345,220,C+KD+S+MP+SD,1.0,1,225,0.0
tier3_iso,2014,12345,221,M+C+KD+S+MP+SD,1.0,1,309,0.0
tier3_iso,2014,12345,222,L+C+KD+S+MP+SD,1.0,1,244,0.0
tier3_iso,2014,12345,223,M+L+C+KD+S+MP+SD,1.0,1,328,0.0
tier3_iso,2014,12345,224,V+MP+SD,0.0,0,95,0.0
tier3_iso,2014,12345,225,M+V+MP+SD,0.6684,1,179,0.10995856000000001
tier3_iso,2014,12345,226,L+V+MP+SD,0.0,0,114,0.0
tier3_iso,2014,12345,227,M+L+V+MP+SD,1.0,1,198,0.0
tier3_iso,2014,12345,228,C+V+MP+SD,0.0,0,117,0.0
tier3_iso,2014,12345,229,M+C+V+MP+SD,1.0,1,201,0.0
tier3_iso,2014,12345,230,L+C+V+MP+SD,0.0,0,136,0.0
tier3_iso,2014,12345,231,M+L+C+V+MP+SD,1.0,1,220,0.0
tier3_iso,2014,12345,232,KD+V+MP+SD,0.0,0,111,0.0
tier3_iso,2014,12345,233,M+KD+V+MP+SD,1.0,1,195,0.0
tier3_iso,2014,12345,234,L+KD+V+MP+SD,0.0,0,130,0.0
tier3_iso,2014,12345,235,M+L+KD+V+MP+SD,1.0,1,214,0.0
tier3_iso,2014,12345,236,C+KD+V+MP+SD,0.0,0,133,0.0
tier3_iso,2014,12345,237,M+C+KD+V+MP+SD,1.0,1,217,0.0
tier3_iso,2014,12345,238,L+C+KD+V+MP+SD,0.0,0,152,0.0
tier3_iso,2014,12345,239,M+L+C+KD+V+MP+SD,1.0,1,236,0.0
tier3_iso,2014,12345,240,S+V+MP+SD,1.0,1,208,0.0
tier3_iso,2014,12345,241,M+S+V+MP+SD,1.0,1,292,0.0
tier3_iso,2014,12345,242,L+S+V+MP+SD,1.0,1,227,0.0
tier3_iso,2014,12345,243,M+L+S+V+MP+SD,1.0,1,311,0.0
tier3_iso,2014,12345,244,C+S+V+MP+SD,1.0,1,230,0.0
tier3_iso,2014,12345,245,M+C+S+V+MP+SD,1.0,1,314,0.0
tier3_iso,2014,12345,246,L+C+S+V+MP+SD,1.0,1,249,0.0
tier3_iso,2014,12345,247,M+L+C+S+V+MP+SD,1.0,1,333,0.0
tier3_iso,2014,12345,248,KD+S+V+MP+SD,1.0,1,224,0.0
tier3_iso,2014,12345,249,M+KD+S+V+MP+SD,1.0,1,308,0.0
tier3_iso,2014,12345,250,L+KD+S+V+MP+SD,1.0,1,243,0.0
tier3_iso,2014,12345,251,M+L+KD+S+V+MP+SD,1.0,1,327,0.0
tier3_iso,2014,12345,252,C+KD+S+V+MP+SD,1.0,1,246,0.0
tier3_iso,2014,12345,253,M+C+KD+S+V+MP+SD,1.0,1,330,0.0
tier3_iso,2014,12345,254,L+C+KD+S+V+MP+SD,1.0,1,265,0.0
tier3_iso,2014,24680,1,M,0.0,0,84,0.0
tier3_iso,2014,24680,2,L,0.0,0,19,0.0
tier3_iso,2014,24680,3,M+L,0.0,0,103,0.0
tier3_iso,2014,24680,4,C,0.0,0,22,0.0
tier3_iso,2014,24680,5,M+C,0.0,0,106,0.0
tier3_iso,2014,24680,6,L+C,0.0,0,41,0.0
tier3_iso,2014,24680,7,M+L+C,0.0,0,125,0.0
tier3_iso,2014,24680,8,KD,0.0,0,16,0.0
tier3_iso,2014,24680,9,M+KD,0.0,0,100,0.0
tier3_iso,2014,24680,10,L+KD,0.0,0,35,0.0
tier3_iso,2014,24680,11,M+L+KD,0.0,0,119,0.0
tier3_iso,2014,24680,12,C+KD,0.0,0,38,0.0
tier3_iso,2014,24680,13,M+C+KD,0.0,0,122,0.0
tier3_iso,2014,24680,14,L+C+KD,0.0,0,57,0.0
tier3_iso,2014,24680,15,M+L+C+KD,0.0,0,141,0.0
tier3_iso,2014,24680,16,S,0.0,0,113,0.0
tier3_iso,2014,24680,17,M+S,1.0,1,197,0.0
tier3_iso,2014,24680,18,L+S,0.0,0,132,0.0
tier3_iso,2014,24680,19,M+L+S,1.0,1,216,0.0
tier3_iso,2014,24680,20,C+S,0.0,0,135,0.0
tier3_iso,2014,24680,21,M+C+S,1.0,1,219,0.0
tier3_iso,2014,24680,22,L+C+S,0.0,0,154,0.0
tier3_iso,2014,24680,23,M+L+C+S,1.0,1,238,0.0
tier3_iso,2014,24680,24,KD+S,0.0,0,129,0.0
tier3_iso,2014,24680,25,M+KD+S,1.0,1,213,0.0
tier3_iso,2014,24680,26,L+KD+S,0.0,0,148,0.0
tier3_iso,2014,24680,27,M+L+KD+S,1.0,1,232,0.0
tier3_iso,2014,24680,28,C+KD+S,0.0,0,151,0.0
tier3_iso,2014,24680,29,M+C+KD+S,1.0,1,235,0.0
tier3_iso,2014,24680,30,L+C+KD+S,0.33675,0,170,0.1134005625
tier3_iso,2014,24680,31,M+L+C+KD+S,1.0,1,254,0.0
tier3_iso,2014,24680,32,V,0.0,0,21,0.0
tier3_iso,2014,24680,33,M+V,0.0,0,105,0.0
tier3_iso,2014,24680,34,L+V,0.0,0,40,0.0
tier3_iso,2014,24680,35,M+L+V,0.0,0,124,0.0
tier3_iso,2014,24680,36,C+V,0.0,0,43,0.0
tier3_iso,2014,24680,37,M+C+V,0.0,0,127,0.0
tier3_iso,2014,24680,38,L+C+V,0.0,0,62,0.0
tier3_iso,2014,24680,39,M+L+C+V,0.0,0,146,0.0
tier3_iso,2014,24680,40,KD+V,0.0,0,37,0.0
tier3_iso,2014,24680,41,M+KD+V,0.0,0,121,0.0
tier3_iso,2014,24680,42,L+KD+V,0.0,0,56,0.0
tier3_iso,2014,24680,43,M+L+KD+V,0.0,0,140,0.0
tier3_iso,2014,24680,44,C+KD+V,0.0,0,59,0.0
tier3_iso,2014,24680,45,M+C+KD+V,0.0,0,143,0.0
tier3_iso,2014,24680,46,L+C+KD+V,0.0,0,78,0.0
tier3_iso,2014,24680,47,M+L+C+KD+V,0.33565,0,162,0.1126609225
tier3_iso,2014,24680,48,S+V,0.0,0,134,0.0
tier3_iso,2014,24680,49,M+S+V,1.0,1,218,0.0
tier3_iso,2014,24680,50,L+S+V,0.0,0,153,0.0
tier3_iso,2014,24680,51,M+L+S+V,1.0,1,237,0.0
tier3_iso,2014,24680,52,C+S+V,0.0,0,156,0.0
tier3_iso,2014,24680,53,M+C+S+V,1.0,1,240,0.0
tier3_iso,2014,24680,54,L+C+S+V,1.0,1,175,0.0
tier3_iso,2014,24680,55,M+L+C+S+V,1.0,1,259,0.0
tier3_iso,2014,24680,56,KD+S+V,0.0,0,150,0.0
tier3_iso,2014,24680,57,M+KD+S+V,1.0,1,234,0.0
tier3_iso,2014,24680,58,L+KD+S+V,0.6724,0,169,0.45212176
tier3_iso,2014,24680,59,M+L+KD+S+V,1.0,1,253,0.0
tier3_iso,2014,24680,60,C+KD+S+V,1.0,0,172,1.0
tier3_iso,2014,24680,61,M+C+KD+S+V,1.0,1,256,0.0
tier3_iso,2014,24680,62,L+C+KD+S+V,1.0,1,191,0.0
tier3_iso,2014,24680,63,M+L+C+KD+S+V,1.0,1,275,0.0
tier3_iso,2014,24680,64,MP,0.0,0,25,0.0
tier3_iso,2014,24680,65,M+MP,0.0,0,109,0.0
tier3_iso,2014,24680,66,L+MP,0.0,0,44,0.0
tier3_iso,2014,24680,67,M+L+MP,0.0,0,128,0.0
tier3_iso,2014,24680,68,C+MP,0.0,0,47,0.0
tier3_iso,2014,24680,69,M+C+MP,0.0,0,131,0.0
tier3_iso,2014,24680,70,L+C+MP,0.0,0,66,0.0
tier3_iso,2014,24680,71,M+L+C+MP,0.0,0,150,0.0
tier3_iso,2014,24680,72,KD+MP,0.0,0,41,0.0
tier3_iso,2014,24680,73,M+KD+MP,0.0,0,125,0.0
tier3_iso,2014,24680,74,L+KD+MP,0.0,0,60,0.0
tier3_iso,2014,24680,75,M+L+KD+MP,0.0,0,144,0.0
tier3_iso,2014,24680,76,C+KD+MP,0.0,0,63,0.0
tier3_iso,2014,24680,77,M+C+KD+MP,0.0,0,147,0.0
tier3_iso,2014,24680,78,L+C+KD+MP,0.0,0,82,0.0
tier3_iso,2014,24680,79,M+L+C+KD+MP,1.0,0,166,1.0
tier3_iso,2014,24680,80,S+MP,0.0,0,138,0.0
tier3_iso,2014,24680,81,M+S+MP,1.0,1,222,0.0
tier3_iso,2014,24680,82,L+S+MP,0.33675,0,157,0.1134005625
tier3_iso,2014,24680,83,M+L+S+MP,1.0,1,241,0.0
tier3_iso,2014,24680,84,C+S+MP,0.0,0,160,0.0
tier3_iso,2014,24680,85,M+C+S+MP,1.0,1,244,0.0
tier3_iso,2014,24680,86,L+C+S+MP,1.0,1,179,0.0
tier3_iso,2014,24680,87,M+L+C+S+MP,1.0,1,263,0.0
tier3_iso,2014,24680,88,KD+S+MP,0.0,0,154,0.0
tier3_iso,2014,24680,89,M+KD+S+MP,1.0,1,238,0.0
tier3_iso,2014,24680,90,L+KD+S+MP,1.0,0,173,1.0
tier3_iso,2014,24680,91,M+L+KD+S+MP,1.0,1,257,0.0
tier3_iso,2014,24680,92,C+KD+S+MP,1.0,1,176,0.0
tier3_iso,2014,24680,93,M+C+KD+S+MP,1.0,1,260,0.0
tier3_iso,2014,24680,94,L+C+KD+S+MP,1.0,1,195,0.0
tier3_iso,2014,24680,95,M+L+C+KD+S+MP,1.0,1,279,0.0
tier3_iso,2014,24680,96,V+MP,0.0,0,46,0.0
tier3_iso,2014,24680,97,M+V+MP,0.0,0,130,0.0
tier3_iso,2014,24680,98,L+V+MP,0.0,0,65,0.0
tier3_iso,2014,24680,99,M+L+V+MP,0.0,0,149,0.0
tier3_iso,2014,24680,100,C+V+MP,0.0,0,68,0.0
tier3_iso,2014,24680,101,M+C+V+MP,0.0,0,152,0.0
tier3_iso,2014,24680,102,L+C+V+MP,0.0,0,87,0.0
tier3_iso,2014,24680,103,M+L+C+V+MP,1.0,0,171,1.0
tier3_iso,2014,24680,104,KD+V+MP,0.0,0,62,0.0
tier3_iso,2014,24680,105,M+KD+V+MP,0.0,0,146,0.0
tier3_iso,2014,24680,106,L+KD+V+MP,0.0,0,81,0.0
tier3_iso,2014,24680,107,M+L+KD+V+MP,0.66325,0,165,0.4399005625
tier3_iso,2014,24680,108,C+KD+V+MP,0.0,0,84,0.0
tier3_iso,2014,24680,109,M+C+KD+V+MP,0.66325,0,168,0.4399005625
tier3_iso,2014,24680,110,L+C+KD+V+MP,0.0,0,103,0.0
tier3_iso,2014,24680,111,M+L+C+KD+V+MP,1.0,1,187,0.0
tier3_iso,2014,24680,112,S+V+MP,0.0,0,159,0.0
tier3_iso,2014,24680,113,M+S+V+MP,1.0,1,243,0.0
tier3_iso,2014,24680,114,L+S+V+MP,1.0,1,178,0.0
tier3_iso,2014,24680,115,M+L+S+V+MP,1.0,1,262,0.0
tier3_iso,2014,24680,116,C+S+V+MP,1.0,1,181,0.0
tier3_iso,2014,24680,117,M+C+S+V+MP,1.0,1,265,0.0
tier3_iso,2014,24680,118,L+C+S+V+MP,1.0,1,200,0.0
tier3_iso,2014,24680,119,M+L+C+S+V+MP,1.0,1,284,0.0
tier3_iso,2014,24680,120,KD+S+V+MP,1.0,1,175,0.0
tier3_iso,2014,24680,121,M+KD+S+V+MP,1.0,1,259,0.0
tier3_iso,2014,24680,122,L+KD+S+V+MP,1.0,1,194,0.0
tier3_iso,2014,24680,123,M+L+KD+S+V+MP,1.0,1,278,0.0
tier3_iso,2014,24680,124,C+KD+S+V+MP,1.0,1,197,0.0
tier3_iso,2014,24680,125,M+C+KD+S+V+MP,1.0,1,281,0.0
tier3_iso,2014,24680,126,L+C+KD+S+V+MP,1.0,1,216,0.0
tier3_iso,2014,24680,127,M+L+C+KD+S+V+MP,1.0,1,300,0.0
tier3_iso,2014,24680,128,SD,0.0,0,49,0.0
tier3_iso,2014,24680,129,M+SD,0.0,0,133,0.0
tier3_iso,2014,24680,130,L+SD,0.0,0,68,0.0
