forecast_cases_count,party_rows_count,MAE_8parties,mean_CRPS_8parties,MAE_all9,mean_CRPS_all9,REST_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,variant,horizon_days
2,18,1.4588062499999999,1.0409789374999998,1.4129499999999997,1.0197988333333334,0.850358,0.2777777777777778,0.5555555555555556,0.6666666666666666,1.4130166666666666,2.7854277777777776,3.891605555555555,base,112
2,18,1.4535375,1.1089212499999999,1.3754777777777776,1.0564205555555555,0.6364150000000001,0.2777777777777778,0.5,0.5555555555555556,1.2151555555555555,2.354016666666667,3.2646666666666664,base,84
2,18,1.3112062500000001,1.0272925625,1.2389444444444444,0.9772433333333334,0.5768495,0.2222222222222222,0.3888888888888889,0.5555555555555556,0.9727611111111111,1.8990444444444445,2.5531166666666665,base,56
2,18,1.09890625,0.8612591875,1.043627777777778,0.826146,0.5452405,0.2777777777777778,0.3888888888888889,0.5,0.7088,1.3597777777777778,1.7792000000000003,base,28
2,18,0.77739375,0.6108638750000001,0.7526166666666667,0.5930799444444445,0.45080850000000006,0.2222222222222222,0.2777777777777778,0.5,0.4868555555555556,0.9331166666666668,1.2057166666666665,base,14
2,18,0.5766,0.4468695,0.5634555555555556,0.43701094444444444,0.3581425,0.2777777777777778,0.5,0.5,0.42425,0.8132888888888888,1.0485444444444445,base,7
2,18,6.44296875,5.793903374999999,5.755005555555556,5.166675555555556,0.14885299999999999,0.05555555555555555,0.1111111111111111,0.16666666666666666,1.3024666666666667,2.5936444444444446,3.552377777777777,bias_only,112
2,18,6.560812500000001,6.00976875,5.866255555555556,5.364410222222222,0.201542,0.05555555555555555,0.05555555555555555,0.16666666666666666,1.094638888888889,2.185911111111111,2.9659500000000003,bias_only,84
2,18,6.574450000000001,6.144424875,5.883733333333334,5.487683500000001,0.2337525,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.8719833333333332,1.7197833333333334,2.286488888888889,bias_only,56
2,18,6.62649375,6.340952125000001,5.9329,5.663475444444445,0.243662,0.0,0.05555555555555555,0.1111111111111111,0.6123555555555555,1.1721,1.5254555555555558,bias_only,28
2,18,6.593193749999999,6.401906875,5.920033333333333,5.738516555555557,0.43139400000000006,0.0,0.0,0.0,0.41555,0.795322222222222,1.0261444444444445,bias_only,14
2,18,6.57641875,6.414400375,5.911238888888889,5.756162111111112,0.490256,0.0,0.0,0.0,0.35886666666666667,0.6852666666666667,0.8828222222222223,bias_only,7
2,18,3.0240750000000003,2.7439019375,2.8365944444444446,2.5305215555555556,0.8234785,0.5555555555555556,0.8888888888888888,0.8888888888888888,10.35685,19.92363888888889,20.659244444444443,noise_only,112
2,18,2.99155,2.714685125,2.7717833333333335,2.4885789444444444,0.6797295,0.4444444444444444,0.8888888888888888,0.8888888888888888,2.562638888888889,19.770694444444445,20.35727222222222,noise_only,84
2,18,2.85429375,2.598787875,2.641011111111111,2.380141777777778,0.630973,0.3888888888888889,0.9444444444444444,0.9444444444444444,2.277577777777778,19.593677777777778,20.08642222222222,noise_only,56
2,18,2.6118312500000003,2.4572520625,2.416688888888889,2.251596888888889,0.6063555,0.3888888888888889,0.9444444444444444,0.9444444444444444,1.7097055555555556,19.436322222222223,19.8094,noise_only,28
2,18,2.5476062500000003,2.411426625,2.345361111111111,2.19985,0.5072369999999999,0.16666666666666666,0.9444444444444444,0.9444444444444444,1.3837555555555556,19.29413333333333,19.554422222222218,noise_only,14
2,18,2.4843312500000003,2.37590525,2.27635,2.160353111111111,0.435936,0.16666666666666666,1.0,1.0,1.2916277777777778,19.256050000000002,19.479366666666667,noise_only,7
2,18,1.66193125,2.2645115625,1.5406333333333335,2.060947111111111,0.43243149999999997,0.5,0.6111111111111112,0.6111111111111112,9.687216666666666,18.244194444444442,18.87535,bias_plus_noise,112
2,18,1.59374375,2.255674375,1.4797000000000002,2.047673555555556,0.383667,0.5,0.6111111111111112,0.6666666666666666,2.651683333333333,18.002405555555555,18.51376666666667,bias_plus_noise,84
2,18,1.4207312499999998,2.0635361874999996,1.321738888888889,1.874158777777778,0.3591395,0.5555555555555556,0.6666666666666666,0.7222222222222222,2.3446166666666666,17.833038888888886,18.255644444444442,bias_plus_noise,56
2,18,1.2658062499999998,1.88942975,1.1836833333333334,1.7192428333333334,0.3577475,0.5555555555555556,0.7222222222222222,0.7777777777777778,1.7564666666666666,17.69312222222222,18.01445,bias_plus_noise,28
2,18,1.2050437499999997,1.7840944374999999,1.1342833333333333,1.6302819444444445,0.39978199999999997,0.5,0.6666666666666666,0.7777777777777778,1.4383388888888888,17.614044444444442,17.83502777777778,bias_plus_noise,14
2,18,1.1711874999999998,1.7124984375,1.095461111111111,1.5619246666666666,0.3573345,0.3333333333333333,0.6111111111111112,0.7222222222222222,1.3668444444444443,17.60072222222222,17.79083888888889,bias_plus_noise,7
