variant,party,is_parliamentary,MAE,CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,avg_percentile
base,M,True,0.893825,0.6278965833333335,0.3333333333333333,0.6666666666666666,0.75,1.5402833333333332,2.820608333333333,4.056308333333333,65.095
base,L,True,0.4582916666666667,0.30688391666666665,0.25,0.5833333333333334,0.75,0.5516916666666666,1.0283083333333332,1.3140833333333333,42.794999999999995
base,C,True,0.5072,0.3318623333333333,0.4166666666666667,0.6666666666666666,1.0,0.753275,1.4741083333333336,1.9808500000000004,44.665
base,KD,True,1.4469083333333332,1.2629889166666666,0.08333333333333333,0.3333333333333333,0.5,0.5342250000000001,1.0579083333333332,1.5409499999999998,56.5
base,S,True,1.7403833333333332,1.3457794166666668,0.4166666666666667,0.5,0.5,1.4419250000000003,2.794191666666667,3.7612833333333335,73.86166666666666
base,V,True,1.2214166666666666,0.9730730833333333,0.0,0.08333333333333333,0.08333333333333333,0.6114999999999999,1.2278749999999998,1.5971583333333335,1.635
base,MP,True,0.6428666666666667,0.51420175,0.4166666666666667,0.4166666666666667,0.5,0.4672,0.9303083333333334,1.2401666666666666,44.541666666666664
base,SD,True,1.9910416666666666,1.43222775,0.0,0.16666666666666666,0.3333333333333333,1.3916083333333333,2.8332583333333337,3.743491666666667,47.75
base,REST,False,0.678675,0.5696356666666665,0.4166666666666667,0.5,0.5,0.5395499999999999,1.0504416666666667,1.3799833333333333,23.22
bias_only,M,True,6.37565,5.82284775,0.0,0.0,0.0,1.2239166666666668,2.2475916666666667,3.091308333333334,99.685
bias_only,L,True,1.8299750000000001,1.6689338333333332,0.0,0.0,0.0,0.35719999999999996,0.6689083333333334,0.8610000000000001,99.63666666666666
bias_only,C,True,2.1483166666666667,1.8977581666666665,0.0,0.0,0.0,0.5211833333333333,1.0305833333333334,1.3784166666666666,99.745
bias_only,KD,True,2.707416666666667,2.5369589999999995,0.0,0.0,0.16666666666666666,0.36145833333333327,0.7133583333333333,1.0464916666666666,98.79
bias_only,S,True,8.829675,8.222364916666667,0.0,0.0,0.0,1.3217333333333334,2.6425916666666667,3.4984499999999996,99.77
bias_only,V,True,2.2483166666666667,2.0758009166666667,0.0,0.0,0.0,0.38330833333333336,0.7522000000000001,0.980925,99.88166666666666
bias_only,MP,True,1.9967499999999998,1.8570060000000002,0.0,0.0,0.0,0.29285833333333333,0.5785333333333333,0.7730249999999997,100.0
bias_only,SD,True,26.363016666666667,25.39213791666667,0.0,0.0,0.0,2.220775,4.505141666666667,5.953966666666667,0.0
bias_only,REST,False,0.40463333333333334,0.2915765833333333,0.25,0.4166666666666667,0.6666666666666666,0.30135833333333334,0.5891333333333333,0.7752750000000002,83.81333333333333
noise_only,M,True,3.063925,2.580167916666667,0.3333333333333333,1.0,1.0,5.241858333333334,23.169291666666666,23.962766666666667,23.294999999999998
noise_only,L,True,0.5667,0.5583268333333333,0.5,1.0,1.0,1.441625,5.581133333333333,5.864691666666666,40.42166666666666
noise_only,C,True,0.7684250000000001,0.7893525000000001,0.5833333333333334,1.0,1.0,2.349091666666667,8.551416666666668,8.977033333333333,39.155
noise_only,KD,True,1.4855916666666669,1.3527948333333335,0.25,0.5833333333333334,0.5833333333333334,1.4202583333333332,5.784208333333333,6.112941666666667,58.07333333333333
noise_only,S,True,1.8930666666666667,2.463054833333333,0.4166666666666667,1.0,1.0,4.954116666666668,30.001225,30.703666666666667,32.12833333333333
noise_only,V,True,2.3000000000000003,1.6355488333333337,0.08333333333333333,1.0,1.0,2.6974750000000003,10.089825,10.426241666666666,22.455
noise_only,MP,True,0.82525,0.7169715833333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,1.3729583333333333,5.092191666666667,5.340183333333333,45.54
noise_only,SD,True,11.115291666666666,10.306394500000001,0.08333333333333333,1.0,1.0,8.505675000000002,84.53320833333333,85.09064166666667,77.60333333333334
noise_only,REST,False,0.9134333333333332,0.6139515833333333,0.5833333333333334,1.0,1.0,1.390175,3.1092750000000002,3.441025,35.46
bias_plus_noise,M,True,0.8938166666666666,1.5672690833333334,0.6666666666666666,0.8333333333333334,0.9166666666666666,4.714608333333333,20.69655,21.39215,66.53666666666668
bias_plus_noise,L,True,0.8252666666666665,0.7768449999999999,0.25,0.5,0.6666666666666666,1.2213583333333335,4.836516666666666,5.054716666666667,84.06166666666667
bias_plus_noise,C,True,0.41464999999999996,0.6864227500000001,0.6666666666666666,0.8333333333333334,1.0,2.165375,8.220075,8.5557,63.93833333333333
bias_plus_noise,KD,True,1.603033333333333,1.6772258333333336,0.4166666666666667,0.5,0.5,1.187725,4.863449999999999,5.1191,80.85166666666667
bias_plus_noise,S,True,1.8855416666666667,2.7688233333333336,0.5,0.5,0.5,5.004908333333334,29.45309166666667,30.072175,72.68
bias_plus_noise,V,True,0.2785083333333333,0.5921756666666667,0.9166666666666666,1.0,1.0,2.073091666666666,8.002866666666668,8.240525,55.315000000000005
bias_plus_noise,MP,True,1.0652416666666669,1.0160419166666668,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.1033416666666667,4.092125,4.263541666666668,92.15333333333332
bias_plus_noise,SD,True,4.1252,6.874856083333333,0.3333333333333333,0.5,0.5,10.43365,78.10133333333333,78.80198333333333,17.26
bias_plus_noise,REST,False,0.5419916666666666,0.3816836666666666,0.5,0.8333333333333334,1.0,0.9636916666666666,2.2152833333333333,2.427725,50.383333333333326
