model,tier,target_year,es_9cat,es_8party,crps_8party_mean,crps_all9_mean,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,mean_lambda,seat_energy_score,seat_crps_8party_mean,seat_coverage_50,seat_coverage_80,seat_coverage_90,coalition_brier_mean_over_masks
CONTROL_pp_centered_noise,tier1,2014,3.5671053023332275,3.5210117013093267,0.9744144844875968,0.923459610597483,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,1.0,,,,,,
CONTROL_pp_centered_noise,tier1,2018,3.8657101829679887,3.618990102886386,0.8854480949313273,0.9484232741531526,0.31111111111111106,0.4444444444444445,0.4444444444444445,1.279273943209876,1.8888171234567896,1.8888171234567896,1.0,,,,,,
CONTROL_pp_centered_noise,tier1,2022,1.9668768325700525,1.9277184427798748,0.4717561975029416,0.43971721198942443,0.22222222222222224,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,1.0,,,,,,
CONTROL_pp_centered_noise,tier3_iso,2014,,,,,,,,,,,1.0,14.17598,3.8889449999999997,0.625,0.625,0.625,0.04461504137795276
CONTROL_pp_centered_noise,tier3_iso,2018,,,,,,,,,,,1.0,11.9815,2.999705,0.425,0.5,0.5,0.015269812460629922
CONTROL_pp_centered_noise,tier3_iso,2022,,,,,,,,,,,1.0,6.60338,1.58139,0.625,0.875,0.875,0.020147579984251967
