origin,party,bitwise_identical,crps_campaign_paths,crps_dynamics_v2
2019-01-01,M,True,0.23234829340901342,0.23234829340901342
2019-01-01,L,True,0.06497527776502404,0.06497527776502404
2019-01-01,C,True,0.07713056194142603,0.07713056194142603
2019-01-01,KD,True,0.5857952167483339,0.5857952167483339
2019-01-01,S,True,0.6803567628581852,0.6803567628581852
2019-01-01,V,True,0.5438175796910367,0.5438175796910367
2019-01-01,MP,True,0.03850942409591179,0.03850942409591179
2019-01-01,SD,True,0.16404256923746302,0.16404256923746302
2019-01-15,M,True,0.2570152026323594,0.2570152026323594
2019-01-15,L,True,0.06360536335277292,0.06360536335277292
2019-01-15,C,True,0.12667565815328147,0.12667565815328147
2019-01-15,KD,True,0.7697288334496426,0.7697288334496426
2019-01-15,S,True,1.456658045545993,1.456658045545993
2019-01-15,V,True,0.6461187102937463,0.6461187102937463
2019-01-15,MP,True,0.037100771107925215,0.037100771107925215
2019-01-15,SD,True,0.19871274866026356,0.19871274866026356
2019-01-29,M,True,0.2334589607165347,0.2334589607165347
2019-01-29,L,True,0.0421981861942491,0.0421981861942491
2019-01-29,C,True,0.18746447590976043,0.18746447590976043
2019-01-29,KD,True,0.9567443476135362,0.9567443476135362
2019-01-29,S,True,1.0452757516338866,1.0452757516338866
2019-01-29,V,True,0.4384304393967093,0.4384304393967093
2019-01-29,MP,True,0.06088457165196898,0.06088457165196898
2019-01-29,SD,True,0.2598513750562236,0.2598513750562236
2019-02-12,M,True,0.3514784167028167,0.3514784167028167
2019-02-12,L,True,0.03926461740400153,0.03926461740400153
2019-02-12,C,True,0.13289640691724613,0.13289640691724613
2019-02-12,KD,True,1.1958993958423134,1.1958993958423134
2019-02-12,S,True,0.6150141179793016,0.6150141179793016
2019-02-12,V,True,0.12674215379939852,0.12674215379939852
2019-02-12,MP,True,0.12849225035469564,0.12849225035469564
2019-02-12,SD,True,0.39111084641546817,0.39111084641546817
2019-02-26,M,True,0.3464011817481105,0.3464011817481105
2019-02-26,L,True,0.06336116107748693,0.06336116107748693
2019-02-26,C,True,0.12967417351515617,0.12967417351515617
2019-02-26,KD,True,1.2040649258764822,1.2040649258764822
2019-02-26,S,True,0.4825831447582112,0.4825831447582112
2019-02-26,V,True,0.0899854128805066,0.0899854128805066
2019-02-26,MP,True,0.1209560498628579,0.1209560498628579
2019-02-26,SD,True,0.35550742094319104,0.35550742094319104
2019-03-12,M,True,0.35340519696806144,0.35340519696806144
2019-03-12,L,True,0.061827910240297615,0.061827910240297615
