forecast_cases,N,MAE,RMSE,mean_CRPS_8parties,mean_CRPS_all9,REST_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,model,year_block,horizon_days
53,477,0.10649895178197065,0.1522714116609691,0.10966981132075472,0.10649895178197065,0.0811320754716981,0.33752620545073375,0.33752620545073375,0.33752620545073375,0.0,0.0,0.0,point_persistence,2019,7
53,477,0.19035639412997907,0.27326736433555593,0.2033018867924528,0.19035639412997907,0.08679245283018866,0.20545073375262055,0.20545073375262055,0.20545073375262055,0.0,0.0,0.0,point_persistence,2019,14
53,477,0.34088050314465407,0.5036970238386359,0.37028301886792453,0.34088050314465407,0.10566037735849056,0.14046121593291405,0.14046121593291405,0.14046121593291405,0.0,0.0,0.0,point_persistence,2019,28
53,477,0.6096436058700209,0.8930432270896711,0.6672169811320754,0.6096436058700209,0.14905660377358487,0.07127882599580712,0.07127882599580712,0.07127882599580712,0.0,0.0,0.0,point_persistence,2019,56
53,477,0.8327044025157232,1.201955081012385,0.9141509433962265,0.8327044025157232,0.18113207547169807,0.04612159329140461,0.04612159329140461,0.04612159329140461,0.0,0.0,0.0,point_persistence,2019,84
53,477,1.0176100628930818,1.491443098386013,1.1212264150943396,1.0176100628930818,0.18867924528301883,0.039832285115303984,0.039832285115303984,0.039832285115303984,0.0,0.0,0.0,point_persistence,2019,112
52,468,0.09743589743589742,0.16486202467362573,0.09903846153846155,0.09743589743589742,0.0846153846153846,0.391025641025641,0.391025641025641,0.391025641025641,0.0,0.0,0.0,point_persistence,2020,7
52,468,0.1717948717948718,0.2977838371624855,0.18100961538461538,0.1717948717948718,0.09807692307692305,0.22435897435897437,0.22435897435897437,0.22435897435897437,0.0,0.0,0.0,point_persistence,2020,14
52,468,0.317948717948718,0.5563925319166763,0.34471153846153846,0.317948717948718,0.10384615384615384,0.13247863247863248,0.13247863247863248,0.13247863247863248,0.0,0.0,0.0,point_persistence,2020,28
52,468,0.5807692307692308,1.015983376941878,0.6370192307692307,0.5807692307692308,0.13076923076923078,0.11965811965811966,0.11965811965811966,0.11965811965811966,0.0,0.0,0.0,point_persistence,2020,56
