forecast_cases,N,MAE,RMSE,mean_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,model,horizon_days
33,297,0.08545050505050504,0.1099649469707941,0.09857589898989899,0.9057239057239057,0.9966329966329966,1.0,0.48523737373737375,0.9261535353535353,1.1920757575757575,no_change,7
32,288,0.14158888888888888,0.17997994679963655,0.11852842013888888,0.7222222222222222,0.96875,0.9930555555555556,0.4738545138888889,0.9037930555555556,1.162873611111111,no_change,14
30,270,0.2617925925925926,0.3253997769126691,0.18727106296296295,0.4703703703703704,0.7703703703703704,0.8740740740740741,0.46696629629629627,0.8908277777777778,1.1465025925925927,no_change,28
26,234,0.48144102564102564,0.5998820183147981,0.3655319188034188,0.28205128205128205,0.452991452991453,0.5641025641025641,0.47008846153846157,0.8968098290598291,1.154377777777778,no_change,56
22,198,0.6645863636363636,0.8286748609994907,0.5338314848484849,0.23737373737373738,0.32323232323232326,0.4090909090909091,0.4748570707070708,0.9068525252525254,1.1671984848484849,no_change,84
18,162,0.8324185185185184,1.035186379115458,0.6938520555555556,0.20987654320987653,0.24691358024691357,0.2777777777777778,0.46111728395061724,0.8802629629629629,1.133433950617284,no_change,112
