model,origin_date,target_date,horizon_days,split,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
empirical_raw,2018-01-01,2018-01-29,28,Development,L,True,4.8923,4.8814,4.8,0.0923,0.0923,0.008522,4.5661,4.6086,4.704,4.8923,5.0085,5.1841,5.2684,1,1,1,0.3046,0.5755,0.7023,0.061698,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,C,True,9.4212,9.4949,9.4,0.0212,0.0212,0.000449,8.7617,8.935,9.264,9.4212,9.7572,9.9933,10.223,1,1,1,0.4932,1.0583,1.4613,0.087747,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,KD,True,2.9897,2.9755,3.0,-0.0103,0.0103,0.000107,2.7811,2.8166,2.9022,2.9897,3.0767,3.1465,3.1951,1,1,1,0.1745,0.3299,0.414,0.03221,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,S,True,28.3507,28.3341,28.0,0.3507,0.3507,0.123016,27.285,27.7064,27.9859,28.3507,28.6614,29.1061,29.3113,1,1,1,0.6754,1.3997,2.0263,0.208743,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,V,True,7.499,7.5204,7.7,-0.201,0.201,0.040418,7.1031,7.2639,7.3821,7.499,7.6199,7.8212,7.8707,0,1,1,0.2377,0.5572,0.7676,0.109706,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,MP,True,3.978,3.9367,4.0,-0.022,0.022,0.000483,3.6605,3.7358,3.8185,3.978,4.0625,4.1132,4.172,1,1,1,0.244,0.3774,0.5114,0.041131,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,SD,True,16.8072,16.8107,16.7,0.1072,0.1072,0.011497,16.0056,16.097,16.4769,16.8072,17.1935,17.5176,17.7228,1,1,1,0.7165,1.4207,1.7172,0.140784,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-01-29,28,Development,REST,False,2.894,2.8807,2.8,0.094,0.094,0.00883,2.6053,2.6482,2.7877,2.894,2.9972,3.103,3.2042,1,1,1,0.2095,0.4549,0.5989,0.049934,5000,2057899080,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,M,True,22.8248,23.0514,23.1,-0.2752,0.2752,0.075752,20.3843,21.6787,22.0059,22.8248,23.7966,25.2105,26.4985,1,1,1,1.7907,3.5318,6.1141,0.354757,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,L,True,4.8759,4.8671,4.7,0.1759,0.1759,0.030952,4.3336,4.4137,4.5607,4.8759,5.1421,5.3868,5.4727,1,1,1,0.5813,0.9731,1.139,0.117395,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,C,True,9.5282,9.6478,9.5,0.0282,0.0282,0.000794,8.255,8.5892,9.213,9.5282,10.0819,10.6633,11.402,1,1,1,0.8689,2.0741,3.147,0.160646,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,KD,True,2.9182,2.955,3.2,-0.2818,0.2818,0.079404,2.6931,2.7248,2.8156,2.9182,3.0836,3.1909,3.2221,0,0,1,0.268,0.4661,0.5291,0.16417,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,S,True,28.3739,28.2818,28.0,0.3739,0.3739,0.139834,26.445,27.1855,27.672,28.3739,28.7803,29.622,29.7707,1,1,1,1.1083,2.4365,3.3257,0.271671,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,V,True,7.5675,7.5448,7.8,-0.2325,0.2325,0.054076,6.8424,7.155,7.3642,7.5675,7.7566,7.9448,8.0613,0,1,1,0.3923,0.7898,1.2189,0.149693,5000,697096734,2018-01-01,0
empirical_raw,2018-01-01,2018-02-26,56,Development,MP,True,3.8929,3.8726,3.9,-0.0071,0.0071,5e-05,3.4286,3.5482,3.7266,3.8929,4.062,4.1792,4.2196,1,1,1,0.3354,0.631,0.791,0.056798,5000,697096734,2018-01-01,0
