forecast_cases,N,MAE,RMSE,mean_CRPS_8parties,mean_CRPS_all9,REST_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,model,year_block,horizon_days
53,477,0.10670461215932914,0.15227794432236083,0.07988354481132076,0.07820271698113207,0.06475609433962265,0.5241090146750524,0.8113207547169812,0.909853249475891,0.1729802935010482,0.33691907756813416,0.45525849056603773,symmetric_recency_weighted,2019,7
53,477,0.1905970649895178,0.2731375852225686,0.1446151462264151,0.13573454926624737,0.06468977358490564,0.4989517819706499,0.8364779874213837,0.9161425576519916,0.3089364779874214,0.5940285115303984,0.8252941299790357,symmetric_recency_weighted,2019,14
53,477,0.33978846960167713,0.5028802221401301,0.2660649811320755,0.24560926415094342,0.08196352830188677,0.5094339622641509,0.8176100628930818,0.909853249475891,0.526730607966457,1.0772457023060795,1.502759958071279,symmetric_recency_weighted,2019,28
53,477,0.6064700209643606,0.8925307351612869,0.47598268632075474,0.4348138176100629,0.1054628679245283,0.5115303983228512,0.8343815513626834,0.9161425576519916,0.9339545073375263,1.9907211740041928,2.754204612159329,symmetric_recency_weighted,2019,56
53,477,0.8228828092243186,1.1983803080339055,0.6454407122641509,0.5877885660377358,0.12657139622641508,0.4968553459119497,0.8427672955974843,0.9371069182389937,1.2848247379454927,2.7485153039832286,3.819825157232704,symmetric_recency_weighted,2019,84
53,477,1.0005465408805032,1.4875493663742454,0.7989437783018868,0.7252601677148847,0.13579128301886792,0.5052410901467506,0.8406708595387841,0.939203354297694,1.5137402515723273,3.453096645702306,4.7321161425576515,symmetric_recency_weighted,2019,112
52,468,0.09770149572649571,0.16489628960284802,0.07685795432692308,0.075786452991453,0.06721444230769232,0.5662393162393162,0.7905982905982906,0.8888888888888888,0.15410491452991457,0.32035769230769234,0.4419685897435897,symmetric_recency_weighted,2020,7
52,468,0.17220918803418805,0.29781526784348006,0.13672825240384617,0.12943798717948718,0.0711158653846154,0.5149572649572649,0.8547008547008547,0.9188034188034188,0.29316282051282044,0.5615346153846154,0.7832972222222222,symmetric_recency_weighted,2020,14
52,468,0.3189318376068375,0.557609124654032,0.25703585096153847,0.23693525641025642,0.0761305,0.4807692307692308,0.844017094017094,0.9252136752136753,0.4976019230769231,1.0274668803418805,1.4120034188034187,symmetric_recency_weighted,2020,28
52,468,0.5854132478632479,1.0203041297054605,0.47350467067307694,0.43136025,0.09420488461538461,0.4893162393162393,0.8376068376068376,0.938034188034188,0.9234463675213676,1.89790811965812,2.602068376068376,symmetric_recency_weighted,2020,56
52,468,0.7766333333333334,1.3398608447646099,0.6311613870192307,0.5735338141025641,0.11251323076923077,0.5277777777777778,0.8568376068376068,0.9444444444444444,1.2676666666666667,2.5862158119658125,3.5561679487179485,symmetric_recency_weighted,2020,84
52,468,0.8700929487179486,1.4721216018671013,0.7102908245192308,0.6449624893162393,0.12233580769230769,0.5405982905982906,0.8888888888888888,0.9444444444444444,1.5021884615384618,3.214836965811966,4.324547008547008,symmetric_recency_weighted,2020,112
52,468,0.09587649572649572,0.1405887270407559,0.07314905048076924,0.07223240384615386,0.06489923076923078,0.5085470085470085,0.7478632478632479,0.8504273504273504,0.15155641025641026,0.30217094017094015,0.4128666666666667,symmetric_recency_weighted,2021,7
52,468,0.15407841880341877,0.22403435710263986,0.11918459134615385,0.1130031282051282,0.06355142307692307,0.5170940170940171,0.8012820512820513,0.9038461538461539,0.26798333333333335,0.5063027777777778,0.714698076923077,symmetric_recency_weighted,2021,14
52,468,0.26207628205128203,0.3901888267401061,0.20722128846153848,0.19352645726495726,0.08396780769230769,0.47435897435897434,0.7991452991452992,0.8995726495726496,0.4581557692307692,0.9125692307692308,1.2644463675213675,symmetric_recency_weighted,2021,28
52,468,0.4706897435897436,0.6879034371835111,0.3701868004807692,0.34238513034188034,0.11997176923076923,0.4935897435897436,0.8141025641025641,0.8888888888888888,0.8384993589743589,1.65888311965812,2.287649358974359,symmetric_recency_weighted,2021,56
52,468,0.6538510683760683,0.946310583310506,0.5096190913461538,0.47097501282051285,0.16182238461538462,0.4700854700854701,0.7991452991452992,0.8974358974358975,1.1472324786324788,2.2791929487179488,3.1103523504273505,symmetric_recency_weighted,2021,84
52,468,0.8036679487179486,1.1748676512115088,0.6258331634615384,0.5755846880341879,0.1735968846153846,0.42735042735042733,0.7884615384615384,0.8846153846153846,1.386663247863248,2.781447435897436,3.8808493589743596,symmetric_recency_weighted,2021,112
52,468,0.12450961538461539,0.17601454995218946,0.09213524278846154,0.09197404700854701,0.09068448076923077,0.3995726495726496,0.7008547008547008,0.8290598290598291,0.16641431623931624,0.322434829059829,0.43972905982905985,symmetric_recency_weighted,2022,7
52,468,0.2161275641025641,0.29706281171254695,0.1599960360576923,0.15738213461538464,0.13647092307692305,0.39316239316239315,0.6666666666666666,0.8290598290598291,0.2797912393162393,0.5418570512820513,0.7546474358974358,symmetric_recency_weighted,2022,14
52,468,0.3857478632478633,0.5221178437240416,0.28711559375,0.2782060277777778,0.20692950000000004,0.33974358974358976,0.6730769230769231,0.8183760683760684,0.467507905982906,0.9447025641025641,1.3335038461538462,symmetric_recency_weighted,2022,28
52,468,0.6793920940170941,0.9065433539352118,0.5065601105769231,0.4891220683760683,0.3496177307692308,0.3482905982905983,0.6346153846153846,0.8055555555555556,0.8608138888888889,1.6891641025641027,2.37301688034188,symmetric_recency_weighted,2022,56
52,468,0.8848955128205128,1.198820704357654,0.670578451923077,0.6408216794871795,0.40276750000000006,0.37606837606837606,0.6239316239316239,0.8141025641025641,1.1854538461538462,2.28054188034188,3.1615741452991455,symmetric_recency_weighted,2022,84
52,468,1.0360241452991454,1.4222903597793832,0.7916719567307692,0.7527649786324785,0.4415091538461538,0.391025641025641,0.6495726495726496,0.7799145299145299,1.4350985042735043,2.768250641025641,3.7687707264957266,symmetric_recency_weighted,2022,112
52,468,0.05974444444444443,0.09502038692630088,0.0480073173076923,0.049426891025641025,0.06078348076923078,0.6752136752136753,0.8547008547008547,0.9508547008547008,0.15622564102564102,0.31433675213675216,0.4211858974358974,symmetric_recency_weighted,2023,7
52,468,0.10199230769230769,0.1566051638689713,0.08273858413461539,0.08081904914529915,0.06546276923076923,0.6239316239316239,0.9465811965811965,0.9658119658119658,0.2716651709401709,0.5183401709401709,0.7186303418803418,symmetric_recency_weighted,2023,14
52,468,0.18367136752136753,0.28466198278738325,0.15149708413461538,0.14341599572649572,0.07876728846153846,0.7264957264957265,0.9487179487179487,0.9743589743589743,0.44647243589743585,0.9299820512820514,1.2825920940170938,symmetric_recency_weighted,2023,28
52,468,0.3251147435897436,0.5246064927373871,0.27785157932692306,0.25846111111111114,0.10333736538461538,0.7115384615384616,0.9294871794871795,0.9722222222222222,0.8174959401709402,1.6937758547008546,2.2810957264957263,symmetric_recency_weighted,2023,56
52,468,0.44304401709401714,0.7327209914299244,0.3841033966346154,0.3541301068376068,0.11434378846153846,0.7200854700854701,0.9337606837606838,0.967948717948718,1.1189239316239319,2.311252136752137,3.0710767094017095,symmetric_recency_weighted,2023,84
52,468,0.5425801282051281,0.8883485193775819,0.4720225552884615,0.4339532371794872,0.1293986923076923,0.7243589743589743,0.9294871794871795,0.9615384615384616,1.360238675213675,2.8222561965811965,3.6560767094017095,symmetric_recency_weighted,2023,112
