model,origin_date,target_date,horizon_days,year_block,party,is_parliamentary,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,eligible_transition_count,earliest_transition_end,latest_transition_end,weighted_mean_age_days,kish_effective_transition_count,origin_estimate_date,origin_estimate_age_days
no_change,2024-01-01,2024-01-15,14,2024,REST,False,1.4975,1.5871,1.4,0.0975,0.0975,0.009512,0.8382,0.9341,1.1464,1.4975,1.8847,2.3461,2.6423,1,1,1,0.7383,1.412,1.8041,0.136646,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,M,True,17.577,17.5765,18.4,-0.823,0.823,0.677299,16.9829,17.1174,17.3471,17.577,17.8276,18.0099,18.1356,0,0,0,0.4805,0.8925,1.1526,0.626232,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,L,True,2.9848,2.9936,3.1,-0.1152,0.1152,0.013274,2.7091,2.7651,2.8679,2.9848,3.116,3.2317,3.3014,1,1,1,0.2482,0.4665,0.5923,0.070404,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,C,True,4.2837,4.2943,4.4,-0.1163,0.1163,0.013516,4.0055,4.0665,4.1763,4.2837,4.4072,4.5222,4.5951,1,1,1,0.231,0.4557,0.5897,0.068077,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,KD,True,3.3036,3.3025,3.5,-0.1964,0.1964,0.038587,3.061,3.1012,3.2006,3.3036,3.4045,3.4954,3.5496,0,0,1,0.2039,0.3941,0.4886,0.126661,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,S,True,35.9511,35.9583,35.6,0.3511,0.3511,0.123304,34.8777,35.1241,35.5348,35.9511,36.4013,36.7837,36.9654,1,1,1,0.8664,1.6595,2.0877,0.230668,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,V,True,7.7885,7.7895,8.0,-0.2115,0.2115,0.044723,7.3179,7.4111,7.5838,7.7885,7.9968,8.177,8.2685,0,1,1,0.413,0.766,0.9506,0.129566,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,MP,True,4.498,4.5044,4.4,0.098,0.098,0.009611,4.0718,4.1714,4.3183,4.498,4.6839,4.8569,4.9669,1,1,1,0.3656,0.6855,0.8951,0.076156,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,SD,True,21.9834,21.9938,21.2,0.7834,0.7834,0.613731,21.2157,21.356,21.632,21.9834,22.3332,22.6519,22.8615,0,0,0,0.7013,1.2959,1.6458,0.527929,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
no_change,2024-01-01,2024-01-29,28,2024,REST,False,1.4975,1.5871,1.4,0.0975,0.0975,0.009512,0.8382,0.9341,1.1464,1.4975,1.8847,2.3461,2.6423,1,1,1,0.7383,1.412,1.8041,0.136646,1000,1825812951,0,,,0.0,0.0,2024-01-01,0
