forecast_cases,N,MAE,RMSE,mean_CRPS_8parties,mean_CRPS_all9,REST_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,model,horizon_days
398,3582,0.09179480737018425,0.13874118801902816,0.06923672895728643,0.07011042573981016,0.07709999999999999,0.5368509212730318,0.7897822445561139,0.8819095477386935,0.1516104969290899,0.31926250697934117,0.4259206030150754,symmetric_4y,7
397,3573,0.15406269241533727,0.23181349387338437,0.11807709382871535,0.11466370249090399,0.0873565717884131,0.5233697173243773,0.8172404142177442,0.9104394066610692,0.2774264483627204,0.5251088720962777,0.7305842709207948,symmetric_4y,14
395,3555,0.27117760900140647,0.41385130502668777,0.21160769620253161,0.20039764781997188,0.11071726075949366,0.520112517580872,0.8202531645569621,0.9116736990154711,0.45048610407876233,0.9384158087201124,1.3047696202531647,symmetric_4y,28
391,3519,0.479269764137539,0.7342223041236837,0.37790657033248076,0.3536049735720375,0.15919219948849103,0.5285592497868713,0.822108553566354,0.9153168513782325,0.8275015345268542,1.7045047172492187,2.35123782324524,symmetric_4y,56
387,3483,0.6405741889175998,0.9825486910237874,0.5091631004521964,0.47280041774332476,0.1818989560723514,0.5248349124318117,0.8237151880562733,0.9207579672695951,1.1345813379270744,2.3211637381567614,3.215294257823716,symmetric_4y,84
383,3447,0.7627522773426166,1.1680407414873406,0.6081749014360313,0.5619543391354801,0.1921898407310705,0.5375689004931825,0.8433420365535248,0.917319408181027,1.371445894981143,2.830452132288947,3.9094708732230927,symmetric_4y,112
