origin,party,bitwise_identical,crps_campaign_paths,crps_dynamics_v2
2019-01-01,M,True,0.1194017607826795,0.1194017607826795
2019-01-01,L,True,0.01727831994186811,0.01727831994186811
2019-01-01,C,True,0.06244548251818355,0.06244548251818355
2019-01-01,KD,True,0.20586425062563,0.20586425062563
2019-01-01,S,True,0.05569686204234181,0.05569686204234181
2019-01-01,V,True,0.13202062033991654,0.13202062033991654
2019-01-01,MP,True,0.017501757156636627,0.017501757156636627
2019-01-01,SD,True,0.18086786876566446,0.18086786876566446
2019-01-08,M,True,0.07790773402759013,0.07790773402759013
2019-01-08,L,True,0.016524403180800715,0.016524403180800715
2019-01-08,C,True,0.02878402323960623,0.02878402323960623
2019-01-08,KD,True,0.20521852205337138,0.20521852205337138
2019-01-08,S,True,0.18469658814360898,0.18469658814360898
2019-01-08,V,True,0.22134377388315787,0.22134377388315787
2019-01-08,MP,True,0.01628065225826552,0.01628065225826552
2019-01-08,SD,True,0.07627742457455325,0.07627742457455325
2019-01-15,M,True,0.0774332523072391,0.0774332523072391
2019-01-15,L,True,0.016987257077196158,0.016987257077196158
2019-01-15,C,True,0.02859005467419662,0.02859005467419662
2019-01-15,KD,True,0.2019782429603463,0.2019782429603463
2019-01-15,S,True,0.5426533129569625,0.5426533129569625
2019-01-15,V,True,0.22004220115605874,0.22004220115605874
2019-01-15,MP,True,0.01692185323715637,0.01692185323715637
2019-01-15,SD,True,0.07964285663746223,0.07964285663746223
2019-01-22,M,True,0.07761381244286497,0.07761381244286497
2019-01-22,L,True,0.06298733996824576,0.06298733996824576
2019-01-22,C,True,0.027835740192627342,0.027835740192627342
2019-01-22,KD,True,0.3923690882456796,0.3923690882456796
2019-01-22,S,True,0.6491959959250202,0.6491959959250202
2019-01-22,V,True,0.21634964380577185,0.21634964380577185
2019-01-22,MP,True,0.06172405742174798,0.06172405742174798
2019-01-22,SD,True,0.08218042908822124,0.08218042908822124
2019-01-29,M,True,0.0797902174664499,0.0797902174664499
2019-01-29,L,True,0.017126218359146947,0.017126218359146947
2019-01-29,C,True,0.06351570988075199,0.06351570988075199
2019-01-29,KD,True,0.29373238177463373,0.29373238177463373
2019-01-29,S,True,0.6361282271787927,0.6361282271787927
2019-01-29,V,True,0.21491320295529082,0.21491320295529082
2019-01-29,MP,True,0.016683746093752047,0.016683746093752047
2019-01-29,SD,True,0.06482093846351233,0.06482093846351233
2019-02-05,M,True,0.18430798127303444,0.18430798127303444
2019-02-05,L,True,0.06226094386291155,0.06226094386291155
2019-02-05,C,True,0.06156436559406159,0.06156436559406159
2019-02-05,KD,True,0.28292292043923833,0.28292292043923833
2019-02-05,S,True,0.4474458719303544,0.4474458719303544
2019-02-05,V,True,0.3129021267558057,0.3129021267558057
2019-02-05,MP,True,0.06254070152068512,0.06254070152068512
2019-02-05,SD,True,0.07963860808839315,0.07963860808839315
2019-02-12,M,True,0.11783339622289543,0.11783339622289543
2019-02-12,L,True,0.017702695643215235,0.017702695643215235
2019-02-12,C,True,0.06192885573675587,0.06192885573675587
2019-02-12,KD,True,0.37604367174842857,0.37604367174842857
2019-02-12,S,True,0.26920894607683654,0.26920894607683654
2019-02-12,V,True,0.13133184801297404,0.13133184801297404
2019-02-12,MP,True,0.06113399366401118,0.06113399366401118
2019-02-12,SD,True,0.18590556887229198,0.18590556887229198
2019-02-19,M,True,0.12255411923576684,0.12255411923576684
2019-02-19,L,True,0.15327969845448233,0.15327969845448233
2019-02-19,C,True,0.06166672948531525,0.06166672948531525
2019-02-19,KD,True,0.4720643640739721,0.4720643640739721
2019-02-19,S,True,0.25689297584707166,0.25689297584707166
2019-02-19,V,True,0.03349893330423845,0.03349893330423845
2019-02-19,MP,True,0.017655047565615915,0.017655047565615915
2019-02-19,SD,True,0.26240340106432547,0.26240340106432547
2019-02-26,M,True,0.26228299738617,0.26228299738617
2019-02-26,L,True,0.06505890057452791,0.06505890057452791
2019-02-26,C,True,0.029866031966201412,0.029866031966201412
