model,horizon_days,party,cases,mean_crps,coverage_50,coverage_90,mean_width_50,mean_width_90
campaign_paths,1,C,198,0.006863,0.934343,0.934343,0.003131,0.121708
campaign_paths,1,KD,198,0.011639,0.883838,0.893939,0.002372,0.114662
campaign_paths,1,L,198,0.007542,0.929293,0.929293,0.001495,0.035421
campaign_paths,1,M,198,0.016032,0.843434,0.888889,0.011952,0.192753
campaign_paths,1,MP,198,0.007586,0.924242,0.924242,0.002111,0.045638
campaign_paths,1,S,198,0.029559,0.747475,0.868687,0.01832,0.212425
campaign_paths,1,SD,198,0.020091,0.828283,0.944444,0.011526,0.207619
campaign_paths,1,V,198,0.013701,0.873737,0.914141,0.003985,0.169865
campaign_paths,2,C,198,0.018972,0.79798,0.843434,0.0065,0.166717
campaign_paths,2,KD,198,0.023115,0.747475,0.934343,0.004782,0.226241
campaign_paths,2,L,198,0.015948,0.848485,0.868687,0.002946,0.133632
campaign_paths,2,M,198,0.028452,0.712121,0.974747,0.03543,0.21554
campaign_paths,2,MP,198,0.01384,0.858586,0.909091,0.004194,0.195622
campaign_paths,2,S,198,0.047539,0.565657,0.949495,0.050719,0.246796
campaign_paths,2,SD,198,0.03663,0.681818,0.944444,0.03134,0.234296
campaign_paths,2,V,198,0.021115,0.787879,0.939394,0.008291,0.216354
campaign_paths,3,C,198,0.025343,0.717172,0.838384,0.010156,0.186313
campaign_paths,3,KD,198,0.029847,0.691919,0.929293,0.006692,0.269138
campaign_paths,3,L,198,0.02197,0.777778,0.813131,0.004134,0.15841
campaign_paths,3,M,198,0.039105,0.580808,0.959596,0.140301,0.288477
campaign_paths,3,MP,198,0.022109,0.757576,0.89899,0.0059,0.215833
campaign_paths,3,S,198,0.063962,0.419192,0.893939,0.142292,0.375179
campaign_paths,3,SD,198,0.048125,0.555556,0.909091,0.150791,0.317717
campaign_paths,3,V,198,0.029585,0.686869,0.959596,0.012602,0.23052
campaign_paths,4,C,198,0.035099,0.616162,0.80303,0.016467,0.201126
campaign_paths,4,KD,198,0.039874,0.60101,0.934343,0.009216,0.291546
campaign_paths,4,L,198,0.030419,0.686869,0.772727,0.00572,0.173971
campaign_paths,4,M,198,0.0536,0.474747,0.934343,0.169603,0.385176
campaign_paths,4,MP,198,0.027395,0.707071,0.893939,0.008152,0.224737
campaign_paths,4,S,198,0.08144,0.434343,0.883838,0.181838,0.445893
campaign_paths,4,SD,198,0.059466,0.484848,0.974747,0.19038,0.416254
campaign_paths,4,V,198,0.039444,0.570707,0.944444,0.019481,0.244766
campaign_paths,5,C,198,0.04008,0.550505,0.828283,0.043212,0.215305
campaign_paths,5,KD,198,0.045228,0.540404,0.929293,0.012695,0.303098
campaign_paths,5,L,198,0.033267,0.661616,0.772727,0.007921,0.186789
campaign_paths,5,M,198,0.063407,0.484848,0.964646,0.183379,0.437251
campaign_paths,5,MP,198,0.032802,0.636364,0.883838,0.011306,0.233992
campaign_paths,5,S,198,0.093553,0.535354,0.878788,0.201986,0.540796
campaign_paths,5,SD,198,0.072978,0.621212,0.919192,0.204326,0.484012
campaign_paths,5,V,198,0.044382,0.525253,0.934343,0.0348,0.266887
campaign_paths,6,C,198,0.044958,0.505051,0.858586,0.116584,0.233278
campaign_paths,6,KD,198,0.05382,0.479798,0.909091,0.028595,0.311604
campaign_paths,6,L,198,0.037864,0.616162,0.752525,0.011355,0.197009
campaign_paths,6,M,198,0.073945,0.510101,0.944444,0.197143,0.516876
campaign_paths,6,MP,198,0.038718,0.555556,0.893939,0.016136,0.243901
campaign_paths,6,S,198,0.106255,0.565657,0.89899,0.220472,0.630415
campaign_paths,6,SD,198,0.081272,0.762626,0.939394,0.216757,0.582958
campaign_paths,6,V,198,0.051139,0.494949,0.893939,0.116909,0.3141
campaign_paths,7,C,198,0.054158,0.419192,0.828283,0.135549,0.260693
campaign_paths,7,KD,198,0.06087,0.414141,0.90404,0.107097,0.321443
campaign_paths,7,L,198,0.042062,0.580808,0.727273,0.047338,0.206033
campaign_paths,7,M,198,0.080762,0.646465,0.959596,0.213239,0.58127
campaign_paths,7,MP,198,0.042197,0.530303,0.89899,0.050512,0.258752
campaign_paths,7,S,198,0.123782,0.570707,0.873737,0.240353,0.710589
campaign_paths,7,SD,198,0.089694,0.732323,0.949495,0.231213,0.655594
campaign_paths,7,V,198,0.056542,0.540404,0.888889,0.177188,0.366844
campaign_paths,8,C,198,0.057937,0.388889,0.868687,0.146246,0.295843
campaign_paths,8,KD,198,0.066187,0.40404,0.909091,0.149972,0.35016
campaign_paths,8,L,198,0.044535,0.550505,0.727273,0.096518,0.216122
campaign_paths,8,M,198,0.089163,0.666667,0.959596,0.239033,0.642278
campaign_paths,8,MP,198,0.050279,0.469697,0.89899,0.120938,0.276052
campaign_paths,8,S,198,0.139219,0.545455,0.89899,0.26424,0.805104
campaign_paths,8,SD,198,0.10584,0.656566,0.924242,0.251756,0.742393
campaign_paths,8,V,198,0.062346,0.575758,0.919192,0.190097,0.402464
campaign_paths,9,C,198,0.06171,0.39899,0.873737,0.154139,0.335139
campaign_paths,9,KD,198,0.071923,0.459596,0.919192,0.18637,0.400814
campaign_paths,9,L,198,0.047603,0.520202,0.772727,0.114571,0.231406
campaign_paths,9,M,198,0.09852,0.656566,0.949495,0.275487,0.714169
campaign_paths,9,MP,198,0.055264,0.424242,0.909091,0.147001,0.30774
campaign_paths,9,S,198,0.148455,0.530303,0.90404,0.301759,0.900462
campaign_paths,9,SD,198,0.114723,0.606061,0.934343,0.282132,0.82762
campaign_paths,9,V,198,0.069288,0.550505,0.924242,0.198192,0.441942
campaign_paths,10,C,198,0.066564,0.419192,0.873737,0.160493,0.366879
campaign_paths,10,KD,198,0.078125,0.489899,0.949495,0.20852,0.448486
campaign_paths,10,L,198,0.050536,0.479798,0.818182,0.11949,0.244261
campaign_paths,10,M,198,0.10665,0.616162,0.954545,0.308479,0.778414
campaign_paths,10,MP,198,0.059226,0.409091,0.924242,0.157651,0.352574
campaign_paths,10,S,198,0.161897,0.515152,0.90404,0.338179,0.982797
campaign_paths,10,SD,198,0.127315,0.565657,0.934343,0.319908,0.91459
campaign_paths,10,V,198,0.074808,0.530303,0.944444,0.204502,0.497338
campaign_paths,11,C,198,0.070046,0.444444,0.883838,0.16557,0.391993
campaign_paths,11,KD,198,0.080746,0.525253,0.949495,0.224329,0.478355
campaign_paths,11,L,198,0.055054,0.444444,0.843434,0.123503,0.254606
campaign_paths,11,M,198,0.114392,0.60101,0.964646,0.335783,0.845889
campaign_paths,11,MP,198,0.062375,0.424242,0.934343,0.169966,0.396333
campaign_paths,11,S,198,0.177851,0.525253,0.914141,0.370779,1.079044
campaign_paths,11,SD,198,0.13748,0.525253,0.929293,0.358661,0.98786
campaign_paths,11,V,198,0.076554,0.545455,0.939394,0.209475,0.535101
campaign_paths,12,C,198,0.073886,0.469697,0.868687,0.170439,0.418215
campaign_paths,12,KD,198,0.090164,0.520202,0.919192,0.238508,0.518848
campaign_paths,12,L,198,0.059363,0.424242,0.843434,0.127187,0.266361
campaign_paths,12,M,198,0.121595,0.646465,0.954545,0.363817,0.912132
campaign_paths,12,MP,198,0.067456,0.464646,0.934343,0.183206,0.424659
campaign_paths,12,S,198,0.192149,0.505051,0.919192,0.396275,1.153636
campaign_paths,12,SD,198,0.150109,0.505051,0.939394,0.391378,1.074291
campaign_paths,12,V,198,0.084284,0.525253,0.929293,0.213898,0.562693
campaign_paths,13,C,198,0.080898,0.459596,0.863636,0.175105,0.449725
campaign_paths,13,KD,198,0.095736,0.520202,0.929293,0.250458,0.554959
campaign_paths,13,L,198,0.061286,0.388889,0.868687,0.131285,0.281915
campaign_paths,13,M,198,0.131406,0.626263,0.969697,0.391203,0.969955
campaign_paths,13,MP,198,0.073458,0.494949,0.90404,0.195497,0.447373
campaign_paths,13,S,198,0.207929,0.510101,0.924242,0.418652,1.242857
campaign_paths,13,SD,198,0.159305,0.570707,0.934343,0.419158,1.158619
campaign_paths,13,V,198,0.087832,0.540404,0.929293,0.217943,0.593039
campaign_paths,14,C,198,0.083178,0.449495,0.888889,0.179985,0.4744
campaign_paths,14,KD,198,0.100269,0.565657,0.924242,0.261176,0.588324
campaign_paths,14,L,198,0.063611,0.40404,0.878788,0.136342,0.303845
campaign_paths,14,M,198,0.139724,0.621212,0.949495,0.418665,1.036059
campaign_paths,14,MP,198,0.07512,0.5,0.914141,0.204051,0.468605
campaign_paths,14,S,198,0.217853,0.520202,0.914141,0.44513,1.319427
campaign_paths,14,SD,198,0.168697,0.641414,0.929293,0.442671,1.237948
campaign_paths,14,V,198,0.092557,0.545455,0.919192,0.221003,0.626596
campaign_paths,15,C,198,0.08469,0.454545,0.883838,0.185249,0.501802
campaign_paths,15,KD,198,0.106245,0.565657,0.919192,0.271793,0.614055
campaign_paths,15,L,198,0.066829,0.373737,0.893939,0.141909,0.331269
campaign_paths,15,M,198,0.147343,0.606061,0.954545,0.444811,1.098823
campaign_paths,15,MP,198,0.078578,0.545455,0.90404,0.210127,0.489662
campaign_paths,15,S,198,0.234759,0.520202,0.924242,0.476912,1.401541
campaign_paths,15,SD,198,0.177271,0.641414,0.934343,0.467759,1.316313
campaign_paths,15,V,198,0.098165,0.575758,0.934343,0.224424,0.661063
campaign_paths,16,C,198,0.09298,0.464646,0.873737,0.191217,0.541385
campaign_paths,16,KD,198,0.113352,0.575758,0.929293,0.279147,0.642261
campaign_paths,16,L,198,0.073506,0.358586,0.868687,0.149145,0.353243
campaign_paths,16,M,198,0.153834,0.641414,0.969697,0.471597,1.1563
campaign_paths,16,MP,198,0.080844,0.545455,0.90404,0.215303,0.510592
