model,origin_date,target_date,horizon_days,party,point_forecast,predictive_mean,actual,error,absolute_error,squared_error,p05,p10,p25,p50,p75,p90,p95,interval50_contains_actual,interval80_contains_actual,interval90_contains_actual,width_50,width_80,width_90,crps,samples_count,seed,origin_estimate_date,origin_estimate_age_days
no_change,2026-01-01,2026-01-29,28,C,4.6929,4.6962,5.2,-0.5071,0.5071,0.257147,4.3951,4.4566,4.5692,4.6929,4.8218,4.9367,5.0067,0,0,0,0.2525,0.4801,0.6116,0.398939,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-29,28,KD,4.1941,4.1998,4.3,-0.1059,0.1059,0.011218,3.8768,3.9469,4.0672,4.1941,4.3272,4.4559,4.5362,1,1,1,0.26,0.509,0.6594,0.067834,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-29,28,S,34.4628,34.4618,34.4,0.0628,0.0628,0.003947,33.6222,33.8262,34.1357,34.4628,34.7975,35.0971,35.2824,1,1,1,0.6618,1.2709,1.6603,0.117432,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-29,28,V,7.1948,7.1975,7.6,-0.4052,0.4052,0.164183,6.8515,6.9246,7.0534,7.1948,7.3359,7.4785,7.5561,0,0,0,0.2824,0.5538,0.7046,0.287857,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-29,28,MP,5.7955,5.8011,5.5,0.2955,0.2955,0.087346,5.2897,5.3946,5.5784,5.7955,6.015,6.2127,6.338,0,1,1,0.4367,0.8181,1.0484,0.176452,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-29,28,SD,21.5807,21.5821,21.4,0.1807,0.1807,0.032665,20.909,21.0537,21.3012,21.5807,21.8566,22.128,22.264,1,1,1,0.5554,1.0743,1.3551,0.127009,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-01-29,28,REST,2.1002,2.1817,1.8,0.3002,0.3002,0.090135,1.3486,1.4983,1.7512,2.1002,2.5244,2.9677,3.2638,1,1,1,0.7732,1.4694,1.9152,0.199587,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,M,17.8759,17.8804,17.8,0.0759,0.0759,0.005757,17.3327,17.452,17.6529,17.8759,18.1064,18.3099,18.4469,1,1,1,0.4535,0.8579,1.1142,0.085568,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,L,1.9942,1.9994,2.1,-0.1058,0.1058,0.011187,1.8313,1.8654,1.927,1.9942,2.0686,2.1407,2.1822,0,1,1,0.1416,0.2752,0.351,0.062384,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,C,4.6929,4.6962,5.6,-0.9071,0.9071,0.822825,4.3951,4.4566,4.5692,4.6929,4.8218,4.9367,5.0067,0,0,0,0.2525,0.4801,0.6116,0.798231,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,KD,4.1941,4.1998,4.5,-0.3059,0.3059,0.093585,3.8768,3.9469,4.0672,4.1941,4.3272,4.4559,4.5362,0,0,1,0.26,0.509,0.6594,0.201684,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,S,34.4628,34.4618,33.7,0.7628,0.7628,0.581905,33.6222,33.8262,34.1357,34.4628,34.7975,35.0971,35.2824,0,0,1,0.6618,1.2709,1.6603,0.511943,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,V,7.1948,7.1975,7.8,-0.6052,0.6052,0.366261,6.8515,6.9246,7.0534,7.1948,7.3359,7.4785,7.5561,0,0,0,0.2824,0.5538,0.7046,0.482452,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,MP,5.7955,5.8011,5.7,0.0955,0.0955,0.009129,5.2897,5.3946,5.5784,5.7955,6.015,6.2127,6.338,1,1,1,0.4367,0.8181,1.0484,0.0858,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,SD,21.5807,21.5821,20.9,0.6807,0.6807,0.4634,20.909,21.0537,21.3012,21.5807,21.8566,22.128,22.264,0,0,0,0.5554,1.0743,1.3551,0.46511,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-02-26,56,REST,2.1002,2.1817,1.9,0.2002,0.2002,0.04009,1.3486,1.4983,1.7512,2.1002,2.5244,2.9677,3.2638,1,1,1,0.7732,1.4694,1.9152,0.163288,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,M,17.8759,17.8804,17.8,0.0759,0.0759,0.005757,17.3327,17.452,17.6529,17.8759,18.1064,18.3099,18.4469,1,1,1,0.4535,0.8579,1.1142,0.085568,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,L,1.9942,1.9994,2.3,-0.3058,0.3058,0.093494,1.8313,1.8654,1.927,1.9942,2.0686,2.1407,2.1822,0,0,0,0.1416,0.2752,0.351,0.240835,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,C,4.6929,4.6962,6.0,-1.3071,1.3071,1.708503,4.3951,4.4566,4.5692,4.6929,4.8218,4.9367,5.0067,0,0,0,0.2525,0.4801,0.6116,1.198231,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,KD,4.1941,4.1998,4.7,-0.5059,0.5059,0.255951,3.8768,3.9469,4.0672,4.1941,4.3272,4.4559,4.5362,0,0,0,0.26,0.509,0.6594,0.389836,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,S,34.4628,34.4618,33.1,1.3628,1.3628,1.857297,33.6222,33.8262,34.1357,34.4628,34.7975,35.0971,35.2824,0,0,0,0.6618,1.2709,1.6603,1.083191,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,V,7.1948,7.1975,7.9,-0.7052,0.7052,0.4973,6.8515,6.9246,7.0534,7.1948,7.3359,7.4785,7.5561,0,0,0,0.2824,0.5538,0.7046,0.582184,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,MP,5.7955,5.8011,6.1,-0.3045,0.3045,0.092694,5.2897,5.3946,5.5784,5.7955,6.015,6.2127,6.338,0,1,1,0.4367,0.8181,1.0484,0.182011,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,SD,21.5807,21.5821,20.2,1.3807,1.3807,1.906429,20.909,21.0537,21.3012,21.5807,21.8566,22.128,22.264,0,0,0,0.5554,1.0743,1.3551,1.147404,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-03-26,84,REST,2.1002,2.1817,1.9,0.2002,0.2002,0.04009,1.3486,1.4983,1.7512,2.1002,2.5244,2.9677,3.2638,1,1,1,0.7732,1.4694,1.9152,0.163288,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,M,17.8759,17.8804,17.8,0.0759,0.0759,0.005757,17.3327,17.452,17.6529,17.8759,18.1064,18.3099,18.4469,1,1,1,0.4535,0.8579,1.1142,0.085568,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,L,1.9942,1.9994,2.3,-0.3058,0.3058,0.093494,1.8313,1.8654,1.927,1.9942,2.0686,2.1407,2.1822,0,0,0,0.1416,0.2752,0.351,0.240835,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,C,4.6929,4.6962,6.1,-1.4071,1.4071,1.979922,4.3951,4.4566,4.5692,4.6929,4.8218,4.9367,5.0067,0,0,0,0.2525,0.4801,0.6116,1.298231,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,KD,4.1941,4.1998,5.0,-0.8059,0.8059,0.649501,3.8768,3.9469,4.0672,4.1941,4.3272,4.4559,4.5362,0,0,0,0.26,0.509,0.6594,0.688978,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,S,34.4628,34.4618,32.6,1.8628,1.8628,3.470125,33.6222,33.8262,34.1357,34.4628,34.7975,35.0971,35.2824,0,0,0,0.6618,1.2709,1.6603,1.581676,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,V,7.1948,7.1975,8.1,-0.9052,0.9052,0.819378,6.8515,6.9246,7.0534,7.1948,7.3359,7.4785,7.5561,0,0,0,0.2824,0.5538,0.7046,0.782154,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,MP,5.7955,5.8011,6.5,-0.7045,0.7045,0.496259,5.2897,5.3946,5.5784,5.7955,6.015,6.2127,6.338,0,0,0,0.4367,0.8181,1.0484,0.523342,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,SD,21.5807,21.5821,19.6,1.9807,1.9807,3.923311,20.909,21.0537,21.3012,21.5807,21.8566,22.128,22.264,0,0,0,0.5554,1.0743,1.3551,1.74733,5000,195417453,2026-01-01,0
no_change,2026-01-01,2026-04-23,112,REST,2.1002,2.1817,2.0,0.1002,0.1002,0.010045,1.3486,1.4983,1.7512,2.1002,2.5244,2.9677,3.2638,1,1,1,0.7732,1.4694,1.9152,0.142112,5000,195417453,2026-01-01,0
no_change,2026-01-08,2026-01-15,7,M,17.877,17.8758,17.9,-0.023,0.023,0.000529,17.2938,17.4175,17.6395,17.877,18.115,18.3247,18.4533,1,1,1,0.4755,0.9072,1.1595,0.084067,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,L,1.9974,2.0,2.0,-0.0026,0.0026,7e-06,1.8216,1.8606,1.9212,1.9974,2.0747,2.1459,2.1868,1,1,1,0.1535,0.2853,0.3652,0.026402,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,C,4.7958,4.7976,4.9,-0.1042,0.1042,0.010867,4.472,4.5478,4.6614,4.7958,4.93,5.05,5.1297,1,1,1,0.2685,0.5022,0.6577,0.067389,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,KD,4.1985,4.2043,4.2,-0.0015,0.0015,2e-06,3.8781,3.9497,4.0697,4.1985,4.3378,4.4613,4.5395,1,1,1,0.268,0.5116,0.6615,0.046926,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,S,34.4701,34.4684,34.4,0.0701,0.0701,0.004913,33.6197,33.8124,34.1174,34.4701,34.8217,35.132,35.303,1,1,1,0.7043,1.3196,1.6833,0.125785,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,V,7.2881,7.2923,7.4,-0.1119,0.1119,0.012511,6.9231,7.0063,7.1398,7.2881,7.4475,7.5863,7.6737,1,1,1,0.3076,0.58,0.7506,0.074529,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,MP,5.6943,5.6996,5.7,-0.0057,0.0057,3.2e-05,5.1638,5.2734,5.4778,5.6943,5.919,6.1201,6.2529,1,1,1,0.4412,0.8467,1.0891,0.077395,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,SD,21.4883,21.4821,21.5,-0.0117,0.0117,0.000136,20.7636,20.9201,21.1862,21.4883,21.7814,22.0362,22.2045,1,1,1,0.5952,1.1161,1.4409,0.101376,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-15,7,REST,2.0996,2.1799,2.0,0.0996,0.0996,0.009914,1.328,1.4613,1.7305,2.0996,2.5331,2.9944,3.3416,1,1,1,0.8026,1.5331,2.0136,0.146505,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,M,17.877,17.8758,17.9,-0.023,0.023,0.000529,17.2938,17.4175,17.6395,17.877,18.115,18.3247,18.4533,1,1,1,0.4755,0.9072,1.1595,0.084067,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,L,1.9974,2.0,2.0,-0.0026,0.0026,7e-06,1.8216,1.8606,1.9212,1.9974,2.0747,2.1459,2.1868,1,1,1,0.1535,0.2853,0.3652,0.026402,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,C,4.7958,4.7976,5.0,-0.2042,0.2042,0.041716,4.472,4.5478,4.6614,4.7958,4.93,5.05,5.1297,0,1,1,0.2685,0.5022,0.6577,0.123134,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,KD,4.1985,4.2043,4.3,-0.1015,0.1015,0.010309,3.8781,3.9497,4.0697,4.1985,4.3378,4.4613,4.5395,1,1,1,0.268,0.5116,0.6615,0.065953,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,S,34.4701,34.4684,34.3,0.1701,0.1701,0.028932,33.6197,33.8124,34.1174,34.4701,34.8217,35.132,35.303,1,1,1,0.7043,1.3196,1.6833,0.143305,5000,1935180223,2026-01-08,0
no_change,2026-01-08,2026-01-22,14,V,7.2881,7.2923,7.5,-0.2119,0.2119,0.044882,6.9231,7.0063,7.1398,7.2881,7.4475,7.5863,7.6737,0,1,1,0.3076,0.58,0.7506,0.125402,5000,1935180223,2026-01-08,0
