window_days,election_year,election_date,party,final_poll_consensus_pct,actual_result_pct,residual_pp,distance_from_4_pp,passed_4pct,threshold_band,party_pollster_count,party_eligible_poll_count,episode_quality
14,1994,1994-09-18,S,45.0,45.2504,0.2504,41.0,True,>=6,1,1,LOW
14,1994,1994-09-18,V,6.5,6.1738,-0.3262,2.5,True,>=6,1,1,LOW
14,2002,2002-09-15,C,5.4356,6.193,0.7574,1.4356,True,5–6,7,44,MEDIUM
14,2002,2002-09-15,KD,10.0254,9.1498,-0.8756,6.0254,True,>=6,7,44,MEDIUM
14,2002,2002-09-15,L,12.9611,13.394,0.4329,8.9611,True,>=6,7,44,MEDIUM
14,2002,2002-09-15,M,17.3733,15.2557,-2.1176,13.3733,True,>=6,7,44,MEDIUM
14,2002,2002-09-15,MP,4.7354,4.6461,-0.0893,0.7354,True,4.5–5,7,44,MEDIUM
14,2002,2002-09-15,S,36.8884,39.8543,2.9659,32.8884,True,>=6,7,44,MEDIUM
14,2002,2002-09-15,V,9.952,8.3884,-1.5636,5.952,True,>=6,7,44,MEDIUM
14,2006,2006-09-17,C,7.2934,7.8791,0.5857,3.2934,True,>=6,5,25,HIGH
14,2006,2006-09-17,FI,1.0,0.6837,-0.3163,-3.0,False,<2,1,1,LOW
14,2006,2006-09-17,KD,6.9827,6.593,-0.3897,2.9827,True,>=6,5,25,HIGH
14,2006,2006-09-17,L,8.5001,7.5369,-0.9632,4.5001,True,>=6,5,25,HIGH
14,2006,2006-09-17,M,26.4172,26.2284,-0.1888,22.4172,True,>=6,5,25,HIGH
14,2006,2006-09-17,MP,5.779,5.2442,-0.5348,1.779,True,5–6,5,25,HIGH
14,2006,2006-09-17,S,33.8293,34.9942,1.1649,29.8293,True,>=6,5,25,HIGH
14,2006,2006-09-17,SD,2.0393,2.9266,0.8873,-1.9607,False,2–3,2,6,MEDIUM
14,2006,2006-09-17,V,5.9277,5.8495,-0.0782,1.9277,True,5–6,5,25,HIGH
14,2010,2010-09-19,C,6.694,6.5567,-0.1373,2.694,True,>=6,7,27,HIGH
14,2010,2010-09-19,KD,5.9446,5.5985,-0.3461,1.9446,True,5–6,7,27,HIGH
14,2010,2010-09-19,L,7.2139,7.0553,-0.1586,3.2139,True,>=6,7,27,HIGH
14,2010,2010-09-19,M,29.482,30.0611,0.5791,25.482,True,>=6,7,27,HIGH
14,2010,2010-09-19,MP,8.6599,7.339,-1.3209,4.6599,True,>=6,7,27,HIGH
14,2010,2010-09-19,S,29.3557,30.6606,1.3049,25.3557,True,>=6,7,27,HIGH
14,2010,2010-09-19,SD,5.1147,5.6978,0.5831,1.1147,True,5–6,7,27,HIGH
14,2010,2010-09-19,V,5.9349,5.6045,-0.3304,1.9349,True,5–6,7,27,HIGH
14,2014,2014-09-14,C,6.2698,6.113,-0.1568,2.2698,True,>=6,9,23,HIGH
14,2014,2014-09-14,FI,3.7195,3.1247,-0.5948,-0.2805,False,3.5–4,9,23,HIGH
14,2014,2014-09-14,KD,5.2054,4.5704,-0.635,1.2054,True,5–6,9,23,HIGH
14,2014,2014-09-14,L,6.2894,5.4203,-0.8691,2.2894,True,>=6,9,23,HIGH
14,2014,2014-09-14,M,21.9586,23.325,1.3664,17.9586,True,>=6,9,23,HIGH
14,2014,2014-09-14,MP,8.8075,6.8887,-1.9188,4.8075,True,>=6,9,23,HIGH
14,2014,2014-09-14,S,29.9124,31.0148,1.1024,25.9124,True,>=6,9,23,HIGH
14,2014,2014-09-14,SD,9.9722,12.8568,2.8846,5.9722,True,>=6,9,23,HIGH
14,2014,2014-09-14,V,6.8439,5.7182,-1.1257,2.8439,True,>=6,9,23,HIGH
14,2018,2018-09-09,C,8.5294,8.6077,0.0783,4.5294,True,>=6,10,35,HIGH
14,2018,2018-09-09,FI,1.0152,0.458,-0.5572,-2.9848,False,<2,4,23,MEDIUM
14,2018,2018-09-09,KD,6.0747,6.3223,0.2476,2.0747,True,>=6,10,35,HIGH
14,2018,2018-09-09,L,5.9566,5.4896,-0.467,1.9566,True,5–6,10,35,HIGH
14,2018,2018-09-09,M,17.7732,19.8356,2.0624,13.7732,True,>=6,10,35,HIGH
14,2018,2018-09-09,MP,4.9823,4.4143,-0.568,0.9823,True,4.5–5,10,35,HIGH
14,2018,2018-09-09,S,25.096,28.261,3.165,21.096,True,>=6,10,35,HIGH
14,2018,2018-09-09,SD,18.5856,17.534,-1.0516,14.5856,True,>=6,10,35,HIGH
14,2018,2018-09-09,V,9.8775,8.0049,-1.8726,5.8775,True,>=6,10,35,HIGH
14,2022,2022-09-11,C,7.4334,6.7142,-0.7192,3.4334,True,>=6,8,47,HIGH
14,2022,2022-09-11,FI,0.3,0.0487,-0.2513,-3.7,False,<2,1,1,LOW
14,2022,2022-09-11,KD,5.6681,5.3367,-0.3314,1.6681,True,5–6,8,47,HIGH
14,2022,2022-09-11,L,4.8795,4.6086,-0.2709,0.8795,True,4.5–5,8,47,HIGH
14,2022,2022-09-11,M,17.6791,19.1021,1.423,13.6791,True,>=6,8,47,HIGH
14,2022,2022-09-11,MP,5.5599,5.0825,-0.4774,1.5599,True,5–6,8,47,HIGH
14,2022,2022-09-11,S,28.8264,30.3255,1.4991,24.8264,True,>=6,8,47,HIGH
14,2022,2022-09-11,SD,20.9928,20.5361,-0.4567,16.9928,True,>=6,8,47,HIGH
14,2022,2022-09-11,V,7.6637,6.7467,-0.917,3.6637,True,>=6,8,47,HIGH
21,1991,1991-09-15,C,10.3,8.5029,-1.7971,6.3,True,>=6,1,1,LOW
21,1991,1991-09-15,KD,8.8,7.1352,-1.6648,4.8,True,>=6,1,1,LOW
21,1991,1991-09-15,L,10.5,9.1277,-1.3723,6.5,True,>=6,1,1,LOW
21,1991,1991-09-15,M,20.4,21.9237,1.5237,16.4,True,>=6,1,1,LOW
21,1991,1991-09-15,MP,3.3,3.3825,0.0825,-0.7,False,3–3.5,1,1,LOW
21,1991,1991-09-15,S,34.0,37.7052,3.7052,30.0,True,>=6,1,1,LOW
21,1991,1991-09-15,V,5.5,4.5132,-0.9868,1.5,True,5–6,1,1,LOW
21,1994,1994-09-18,C,7.0,7.6528,0.6528,3.0,True,>=6,1,1,LOW
21,1994,1994-09-18,KD,4.5,4.0675,-0.4325,0.5,True,4.5–5,1,1,LOW
21,1994,1994-09-18,L,7.0,7.192,0.192,3.0,True,>=6,1,1,LOW
21,1994,1994-09-18,M,21.5,22.3786,0.8786,17.5,True,>=6,1,1,LOW
21,1994,1994-09-18,MP,7.0,5.0228,-1.9772,3.0,True,>=6,1,1,LOW
21,1994,1994-09-18,S,45.0,45.2504,0.2504,41.0,True,>=6,1,1,LOW
21,1994,1994-09-18,V,6.5,6.1738,-0.3262,2.5,True,>=6,1,1,LOW
21,1998,1998-09-20,C,4.5,5.1284,0.6284,0.5,True,4.5–5,1,1,LOW
21,1998,1998-09-20,KD,10.5,11.7494,1.2494,6.5,True,>=6,1,1,LOW
21,1998,1998-09-20,L,5.0,4.7162,-0.2838,1.0,True,5–6,1,1,LOW
21,1998,1998-09-20,M,24.0,22.9069,-1.0931,20.0,True,>=6,1,1,LOW
21,1998,1998-09-20,MP,5.0,4.4999,-0.5001,1.0,True,5–6,1,1,LOW
21,1998,1998-09-20,S,38.3,36.3952,-1.9048,34.3,True,>=6,1,1,LOW
21,1998,1998-09-20,V,10.0,11.9962,1.9962,6.0,True,>=6,1,1,LOW
21,2002,2002-09-15,C,5.4356,6.193,0.7574,1.4356,True,5–6,7,64,MEDIUM
21,2002,2002-09-15,KD,10.0254,9.1498,-0.8756,6.0254,True,>=6,7,64,MEDIUM
21,2002,2002-09-15,L,12.9611,13.394,0.4329,8.9611,True,>=6,7,64,MEDIUM
21,2002,2002-09-15,M,17.3733,15.2557,-2.1176,13.3733,True,>=6,7,64,MEDIUM
21,2002,2002-09-15,MP,4.7354,4.6461,-0.0893,0.7354,True,4.5–5,7,64,MEDIUM
21,2002,2002-09-15,S,36.8884,39.8543,2.9659,32.8884,True,>=6,7,64,MEDIUM
21,2002,2002-09-15,V,9.952,8.3884,-1.5636,5.952,True,>=6,7,64,MEDIUM
21,2006,2006-09-17,C,7.2934,7.8791,0.5857,3.2934,True,>=6,5,28,HIGH
21,2006,2006-09-17,FI,1.0,0.6837,-0.3163,-3.0,False,<2,1,1,LOW
21,2006,2006-09-17,KD,6.9827,6.593,-0.3897,2.9827,True,>=6,5,28,HIGH
21,2006,2006-09-17,L,8.5001,7.5369,-0.9632,4.5001,True,>=6,5,28,HIGH
21,2006,2006-09-17,M,26.4172,26.2284,-0.1888,22.4172,True,>=6,5,28,HIGH
21,2006,2006-09-17,MP,5.779,5.2442,-0.5348,1.779,True,5–6,5,28,HIGH
21,2006,2006-09-17,S,33.8293,34.9942,1.1649,29.8293,True,>=6,5,28,HIGH
21,2006,2006-09-17,SD,2.0393,2.9266,0.8873,-1.9607,False,2–3,2,6,MEDIUM
21,2006,2006-09-17,V,5.9277,5.8495,-0.0782,1.9277,True,5–6,5,28,HIGH
21,2010,2010-09-19,C,6.5291,6.5567,0.0276,2.5291,True,>=6,8,34,HIGH
21,2010,2010-09-19,KD,5.9246,5.5985,-0.3261,1.9246,True,5–6,8,34,HIGH
21,2010,2010-09-19,L,7.1706,7.0553,-0.1153,3.1706,True,>=6,8,34,HIGH
