election_year,election_date,party,party_raw,final_poll_consensus_pct,actual_result_pct,votes,valid_votes_total,residual_pp,distance_from_4_pp,passed_4pct,forecast_side,actual_side,quadrant,threshold_crossing_distance_pp,threshold_band,party_eligible_poll_count,party_contributing_poll_count,party_pollster_count,party_sample_size_coverage,election_poll_count,election_pollster_count,consensus_window_days,metadata_quality,episode_quality,source_notes
1998,1998-09-20,V,V,,11.9962,631011,5260109,,,True,,True,unpolled_excluded,,EXCLUDED,0,0,0,0.0,0,0,14,INDETERMINATE,EXCLUDE,Excluded from canonical 14d and all sensitivity windows due to missing/corrupt interview dates in SwedishPolls.
2002,2002-09-15,C,Centerpartiet,5.4356,6.193,328428,5303212,0.7574,1.4356,True,True,True,above_to_above,0.7574,5–6,44,7,7,0.4286,44,7,14,COMPLETE,MEDIUM,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2002,2002-09-15,KD,Kristdemokraterna,10.0254,9.1498,485235,5303212,-0.8756,6.0254,True,True,True,above_to_above,-0.8756,>=6,44,7,7,0.4286,44,7,14,COMPLETE,MEDIUM,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2002,2002-09-15,L,Folkpartiet liberalerna,12.9611,13.394,710312,5303212,0.4329,8.9611,True,True,True,above_to_above,0.4329,>=6,44,7,7,0.4286,44,7,14,COMPLETE,MEDIUM,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2002,2002-09-15,M,Moderata Samlingspartiet,17.3733,15.2557,809041,5303212,-2.1176,13.3733,True,True,True,above_to_above,-2.1176,>=6,44,7,7,0.4286,44,7,14,COMPLETE,MEDIUM,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2002,2002-09-15,MP,Miljöpartiet de gröna,4.7354,4.6461,246392,5303212,-0.0893,0.7354,True,True,True,above_to_above,-0.0893,4.5–5,44,7,7,0.4286,44,7,14,COMPLETE,MEDIUM,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2002,2002-09-15,S,Arbetarepartiet-Socialdemokraterna,36.8884,39.8543,2113560,5303212,2.9659,32.8884,True,True,True,above_to_above,2.9659,>=6,44,7,7,0.4286,44,7,14,COMPLETE,MEDIUM,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2002,2002-09-15,SD,Sverigedemokraterna,,1.4388,76300,5303212,,,False,,False,unpolled,,UNPOLLED,0,0,0,0.0,44,7,14,NO_PARTY_POLLS,EXCLUDE,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2002,2002-09-15,V,Vänsterpartiet,9.952,8.3884,444854,5303212,-1.5636,5.952,True,True,True,above_to_above,-1.5636,>=6,44,7,7,0.4286,44,7,14,COMPLETE,MEDIUM,"High-volume multi-house consensus (44 polls, 7 pollsters)."
2006,2006-09-17,C,Centerpartiet,7.2934,7.8791,437389,5551278,0.5857,3.2934,True,True,True,above_to_above,0.5857,>=6,25,5,5,0.8,25,5,14,COMPLETE,HIGH,"Multi-house consensus (25 polls, 5 pollsters)."
2006,2006-09-17,FI,Feministiskt initiativ,1.0,0.6837,37954,5551278,-0.3163,-3.0,False,False,False,below_to_below,0.3163,<2,1,1,1,1.0,25,5,14,COMPLETE,LOW,"Multi-house consensus (25 polls, 5 pollsters)."
2006,2006-09-17,KD,Kristdemokraterna,6.9827,6.593,365998,5551278,-0.3897,2.9827,True,True,True,above_to_above,-0.3897,>=6,25,5,5,0.8,25,5,14,COMPLETE,HIGH,"Multi-house consensus (25 polls, 5 pollsters)."
