model,level,nominal,coverage,abs_deviation_pp,control_abs_deviation_pp,increase_pp,tolerance_pp,result
CONTROL,50,0.5,0.28888888888888886,21.111111111111114,21.111111111111114,0.0,3.0,-
CONTROL,80,0.8,0.48148148148148145,31.85185185185186,31.85185185185186,0.0,3.0,-
CONTROL,90,0.9,0.48148148148148145,41.851851851851855,41.851851851851855,0.0,3.0,-
A,50,0.5,0.2592592592592593,24.07407407407407,21.111111111111114,2.962962962962955,3.0,PASS
A,80,0.8,0.5925925925925926,20.740740740740748,31.85185185185186,-11.11111111111111,3.0,PASS
A,90,0.9,0.7407407407407408,15.92592592592592,41.851851851851855,-25.925925925925934,3.0,PASS
B,50,0.5,0.3703703703703704,12.96296296296296,21.111111111111114,-8.148148148148154,3.0,PASS
B,80,0.8,0.7407407407407408,5.925925925925924,31.85185185185186,-25.925925925925934,3.0,PASS
B,90,0.9,0.8148148148148149,8.518518518518514,41.851851851851855,-33.33333333333334,3.0,PASS
