model,dropped_election,kept,control_brier,challenger_brier,relative_improvement_pct
A,2014,2018+2022,0.017708696222440944,0.015060102442913385,14.95645837648504
A,2018,2014+2022,0.032381310681102365,0.030701264488188974,5.188320539149334
A,2022,2014+2018,0.029942426919291342,0.029609850490157484,1.1107196822432095
B,2014,2018+2022,0.017708696222440944,0.013292050625984252,24.940546390195557
B,2018,2014+2022,0.032381310681102365,0.02756067782480315,14.887083798965929
B,2022,2014+2018,0.029942426919291342,0.025836421545275594,13.71300123761954
