model,dropped_election,kept,control_es_9cat,challenger_es_9cat,relative_improvement_pct
A,2014,2018+2022,2.9162935077690206,2.7704284558256065,5.001727417176252
A,2018,2014+2022,2.76699106745164,2.611315666989828,5.626162017399883
A,2022,2014+2018,3.716407742650608,3.561540889250385,4.167111472267285
B,2014,2018+2022,2.9162935077690206,2.643601458880011,9.350637998629303
B,2018,2014+2022,2.76699106745164,2.492809680937552,9.909008732962954
B,2022,2014+2018,3.716407742650608,3.3619777277293568,9.536897979565218
