variant,party,is_parliamentary,MAE,CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,avg_percentile
base,M,True,0.893825,0.6278965833333335,0.3333333333333333,0.6666666666666666,0.75,1.5402833333333332,2.820608333333333,4.056308333333333,65.095
base,L,True,0.4582916666666667,0.30688391666666665,0.25,0.5833333333333334,0.75,0.5516916666666666,1.0283083333333332,1.3140833333333333,42.794999999999995
base,C,True,0.5072,0.3318623333333333,0.4166666666666667,0.6666666666666666,1.0,0.753275,1.4741083333333336,1.9808500000000004,44.665
base,KD,True,1.4469083333333332,1.2629889166666666,0.08333333333333333,0.3333333333333333,0.5,0.5342250000000001,1.0579083333333332,1.5409499999999998,56.5
base,S,True,1.7403833333333332,1.3457794166666668,0.4166666666666667,0.5,0.5,1.4419250000000003,2.794191666666667,3.7612833333333335,73.86166666666666
base,V,True,1.2214166666666666,0.9730730833333333,0.0,0.08333333333333333,0.08333333333333333,0.6114999999999999,1.2278749999999998,1.5971583333333335,1.635
base,MP,True,0.6428666666666667,0.51420175,0.4166666666666667,0.4166666666666667,0.5,0.4672,0.9303083333333334,1.2401666666666666,44.541666666666664
base,SD,True,1.9910416666666666,1.43222775,0.0,0.16666666666666666,0.3333333333333333,1.3916083333333333,2.8332583333333337,3.743491666666667,47.75
base,REST,False,0.678675,0.5696356666666665,0.4166666666666667,0.5,0.5,0.5395499999999999,1.0504416666666667,1.3799833333333333,23.22
pp_bias_only,M,True,0.9273916666666668,0.6444281666666667,0.4166666666666667,0.6666666666666666,0.8333333333333334,1.5401583333333333,2.820491666666667,4.056275,62.995
pp_bias_only,L,True,0.4829583333333334,0.34179908333333336,0.4166666666666667,0.6666666666666666,0.75,0.5516583333333333,1.0282499999999999,1.3140166666666666,68.83666666666666
pp_bias_only,C,True,0.6588166666666667,0.45674616666666673,0.16666666666666666,0.5833333333333334,0.75,0.7533,1.4740750000000002,1.9806583333333332,26.63
pp_bias_only,KD,True,1.623591666666667,1.5314115,0.4166666666666667,0.5,0.5,0.5343333333333333,1.057925,1.5420833333333333,76.50833333333333
pp_bias_only,S,True,1.716491666666667,1.2094745,0.16666666666666666,0.3333333333333333,0.5833333333333334,1.4419833333333336,2.7939249999999998,3.7592750000000006,41.24666666666666
pp_bias_only,V,True,0.36909166666666665,0.23378100000000002,0.4166666666666667,1.0,1.0,0.6116583333333333,1.2279999999999998,1.5965083333333332,37.419999999999995
pp_bias_only,MP,True,1.0487916666666666,0.8645226666666668,0.08333333333333333,0.25,0.3333333333333333,0.4671833333333333,0.9302083333333334,1.2400083333333334,91.565
pp_bias_only,SD,True,2.3314333333333335,1.8268225833333334,0.08333333333333333,0.3333333333333333,0.5,1.3922,2.8333916666666674,3.743658333333333,33.85
pp_bias_only,REST,False,0.6186416666666666,0.45875166666666667,0.16666666666666666,0.3333333333333333,0.4166666666666667,0.5395499999999999,1.0504416666666667,1.3799833333333333,41.178333333333335
pp_noise_only,M,True,0.7313416666666667,0.6194893333333334,0.9166666666666666,1.0,1.0,2.78355,5.670300000000001,6.859266666666667,49.81833333333333
pp_noise_only,L,True,0.42977499999999996,0.33148933333333336,0.6666666666666666,1.0,1.0,1.2843916666666668,2.2739,2.7195666666666667,50.53333333333333
pp_noise_only,C,True,0.54025,0.34920491666666664,0.5833333333333334,1.0,1.0,1.1979083333333331,2.0918416666666664,2.637466666666666,48.504999999999995
pp_noise_only,KD,True,1.4286416666666668,1.2186349166666668,0.16666666666666666,0.5,0.5,0.7947333333333334,1.5310583333333332,2.036725,61.30833333333334
pp_noise_only,S,True,1.9003250000000005,1.29157925,0.4166666666666667,0.5833333333333334,0.6666666666666666,2.22435,4.016466666666667,5.0543000000000005,70.91166666666668
pp_noise_only,V,True,1.2633833333333333,0.8067729166666667,0.08333333333333333,0.3333333333333333,0.5833333333333334,1.3561833333333333,2.209733333333333,2.676266666666667,9.804999999999998
pp_noise_only,MP,True,0.6628249999999999,0.48619083333333335,0.5833333333333334,0.8333333333333334,0.8333333333333334,1.2206666666666666,2.0282666666666667,2.4217083333333336,49.839999999999996
pp_noise_only,SD,True,1.9417666666666669,1.2976881666666666,0.16666666666666666,0.5,0.8333333333333334,2.1991666666666667,4.268000000000001,5.268308333333333,45.46
pp_noise_only,REST,False,0.6961833333333334,0.5562011666666666,0.4166666666666667,0.5,0.5,0.7831916666666667,1.5220083333333336,1.946258333333333,20.973333333333333
pp_bias_plus_noise,M,True,0.7635416666666668,0.64026975,0.75,1.0,1.0,2.739608333333333,5.595608333333334,6.781091666666668,49.794999999999995
pp_bias_plus_noise,L,True,0.544225,0.37894749999999994,0.75,0.9166666666666666,1.0,1.2864250000000002,2.2733666666666665,2.718233333333334,63.16333333333333
pp_bias_plus_noise,C,True,0.6349833333333333,0.4257857499999999,0.4166666666666667,0.75,1.0,1.1986,2.0924416666666663,2.637833333333333,33.99166666666667
pp_bias_plus_noise,KD,True,1.6217916666666665,1.5175434999999997,0.5,0.5,0.5,0.7910583333333334,1.521333333333333,2.0273166666666667,76.03333333333335
pp_bias_plus_noise,S,True,1.7028166666666664,1.1149309166666665,0.25,0.5833333333333334,0.8333333333333334,2.1459166666666665,3.970758333333334,5.007183333333333,41.08666666666666
pp_bias_plus_noise,V,True,0.4044083333333333,0.2978685,0.9166666666666666,1.0,1.0,1.3138166666666666,2.1822833333333334,2.6514416666666665,39.75666666666667
pp_bias_plus_noise,MP,True,0.9450333333333333,0.75428025,0.3333333333333333,0.6666666666666666,0.75,1.2322333333333333,2.037525,2.427058333333333,80.43166666666667
pp_bias_plus_noise,SD,True,2.2661583333333337,1.7243815,0.25,0.5,0.5,2.18615,4.22525,5.2317,33.35166666666667
pp_bias_plus_noise,REST,False,0.5738416666666667,0.4106208333333334,0.4166666666666667,0.5,0.6666666666666666,0.7831916666666667,1.4678333333333333,1.800933333333333,41.154999999999994
