election_date,election_year,origin_date,horizon_days,variant,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections
2018-09-09,2018,2018-05-20,112,pp_noise_only,C,True,8.6077,9.3273,6.9597,7.5036,8.3134,9.2478,10.2112,11.1965,11.972,31.52,0.64,0.452109,True,True,True,1.8977,3.6929,5.0123,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_noise_only,KD,True,6.3223,3.0934,2.4141,2.5577,2.8079,3.1008,3.3751,3.6267,3.7552,100.0,3.2215,2.99792,False,False,False,0.5671,1.0689,1.3411,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_noise_only,S,True,28.261,25.5723,22.918,23.4138,24.2288,25.5188,26.6601,28.1301,28.8921,90.8,2.7422,1.818919,False,False,True,2.4312,4.7164,5.9741,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_noise_only,V,True,8.0049,8.4797,7.1045,7.3327,7.8325,8.5659,9.0967,9.5043,9.7546,30.98,0.561,0.327313,True,True,True,1.2642,2.1716,2.65,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_noise_only,MP,True,4.4143,4.2062,2.8585,3.0656,3.5199,4.2378,4.859,5.2715,5.537,55.86,0.1764,0.240303,True,True,True,1.3391,2.2059,2.6785,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_noise_only,SD,True,17.534,19.8001,16.4619,17.1515,18.3674,19.6838,21.1832,22.641,23.4504,13.96,2.1498,1.339946,False,True,True,2.8157,5.4894,6.9885,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_noise_only,REST,False,1.5307,3.1104,2.3729,2.5062,2.7744,3.1,3.4159,3.7143,3.9178,0.0,1.5693,1.313457,False,False,False,0.6415,1.2081,1.5449,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,M,True,19.8356,21.5209,16.4377,17.3452,19.5616,21.5025,23.5575,25.3911,27.3376,28.22,1.6669,1.095727,True,True,True,3.9959,8.046,10.8999,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,L,True,5.4896,4.3448,3.034,3.2183,3.6192,4.2169,5.0433,5.6643,5.9909,86.94,1.2727,0.737028,False,True,True,1.4241,2.446,2.9569,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
2018-09-09,2018,2018-05-20,112,pp_bias_plus_noise,C,True,8.6077,9.7214,7.3537,7.8976,8.7075,9.6418,10.6052,11.5905,12.366,22.74,1.0341,0.631817,False,True,True,1.8977,3.6929,5.0123,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]"
