forecast_cases_count,party_rows_count,MAE_8parties,mean_CRPS_8parties,MAE_all9,mean_CRPS_all9,REST_CRPS,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,mean_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,variant,horizon_days
2,18,1.4588062499999999,1.0409789374999998,1.4129499999999997,1.0197988333333334,0.850358,0.2777777777777778,0.5555555555555556,0.6666666666666666,1.4130166666666666,2.7854277777777776,3.891605555555555,1.0,0.0,0.0,base,112
2,18,1.4535375,1.1089212499999999,1.3754777777777776,1.0564205555555555,0.6364150000000001,0.2777777777777778,0.5,0.5555555555555556,1.2151555555555555,2.354016666666667,3.2646666666666664,1.0,0.0,0.0,base,84
2,18,1.3112062500000001,1.0272925625,1.2389444444444444,0.9772433333333334,0.5768495,0.2222222222222222,0.3888888888888889,0.5555555555555556,0.9727611111111111,1.8990444444444445,2.5531166666666665,1.0,0.0,0.0,base,56
2,18,1.09890625,0.8612591875,1.043627777777778,0.826146,0.5452405,0.2777777777777778,0.3888888888888889,0.5,0.7088,1.3597777777777778,1.7792000000000003,1.0,0.0,0.0,base,28
2,18,0.77739375,0.6108638750000001,0.7526166666666667,0.5930799444444445,0.45080850000000006,0.2222222222222222,0.2777777777777778,0.5,0.4868555555555556,0.9331166666666668,1.2057166666666665,1.0,0.0,0.0,base,14
2,18,0.5766,0.4468695,0.5634555555555556,0.43701094444444444,0.3581425,0.2777777777777778,0.5,0.5,0.42425,0.8132888888888888,1.0485444444444445,1.0,0.0,0.0,base,7
2,18,1.6298750000000002,1.21506625,1.518822222222222,1.1414855555555556,0.55284,0.2777777777777778,0.5555555555555556,0.6111111111111112,1.413161111111111,2.7854944444444443,3.891022222222222,0.9999500000000001,0.0008000000000000001,0.0004000000000000001,pp_bias_only,112
2,18,1.53653125,1.1958363749999998,1.4358999999999997,1.1136506666666666,0.456165,0.3333333333333333,0.5555555555555556,0.6111111111111112,1.2154555555555555,2.3539444444444446,3.2644055555555553,0.9995999999999999,0.0021,0.0016000000000000003,pp_bias_only,84
2,18,1.33556875,1.027766625,1.2559944444444444,0.9617434444444444,0.433558,0.2222222222222222,0.5,0.7222222222222222,0.9728666666666665,1.8988611111111113,2.552572222222222,0.9997500000000001,0.0023,0.0012,pp_bias_only,56
2,18,0.94380625,0.7365066874999999,0.9040333333333334,0.6993414444444446,0.4020195,0.2222222222222222,0.5555555555555556,0.6666666666666666,0.7088444444444444,1.3596111111111113,1.7792055555555555,0.9998500000000001,0.0022,0.0004000000000000001,pp_bias_only,28
2,18,0.7310062500000001,0.5927736875,0.7243055555555555,0.5818581666666667,0.49453400000000003,0.3333333333333333,0.5555555555555556,0.5555555555555556,0.48674444444444454,0.9331277777777777,1.20585,0.9997000000000001,0.0033,0.001,pp_bias_only,14
2,18,0.6921375000000001,0.563789625,0.6790833333333333,0.5470789444444444,0.41339349999999997,0.16666666666666666,0.3888888888888889,0.6111111111111112,0.4242777777777777,0.8134333333333333,1.048588888888889,0.9995999999999999,0.0046,0.0017,pp_bias_only,7
2,18,1.48743125,1.0269898125,1.4437888888888888,1.0068113333333335,0.8453835000000001,0.3888888888888889,0.7222222222222222,0.8333333333333334,1.8903833333333333,3.599094444444445,4.679794444444444,0.9998,0.0013,0.0007,pp_noise_only,112
2,18,1.4840125,1.0801746875,1.4076666666666666,1.030823722222222,0.636016,0.3333333333333333,0.5555555555555556,0.7222222222222222,1.7347888888888887,3.2666,4.161849999999999,0.9993000000000001,0.004,0.0024,pp_noise_only,84
2,18,1.32248125,0.982502875,1.2541,0.9371038888888888,0.573912,0.3333333333333333,0.6111111111111112,0.6666666666666666,1.5647444444444443,2.922933333333334,3.663016666666666,0.99935,0.0044,0.0023,pp_noise_only,56
2,18,1.0683250000000002,0.776603625,1.0227944444444443,0.750221888888889,0.539168,0.3888888888888889,0.6666666666666666,0.6666666666666666,1.3933833333333334,2.5809166666666665,3.1315888888888885,0.9993000000000001,0.005,0.0030999999999999995,pp_noise_only,28
2,18,0.7489374999999999,0.531365,0.7217833333333332,0.5190187777777778,0.420249,0.5555555555555556,0.7222222222222222,0.8333333333333334,1.3118,2.3685722222222223,2.7659000000000002,0.9984,0.0131,0.0066,pp_noise_only,14
2,18,0.56254375,0.40315124999999996,0.5461944444444444,0.3941876111111111,0.3224785,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.3343277777777778,2.3362666666666665,2.6777611111111113,0.9985999999999999,0.011300000000000001,0.0056,pp_noise_only,7
2,18,1.6429875,1.179184625,1.5261,1.1085897777777778,0.5438310000000001,0.3888888888888889,0.6111111111111112,0.7777777777777778,1.885961111111111,3.594566666666667,4.669194444444445,0.9963,0.0209,0.014599999999999998,pp_bias_plus_noise,112
2,18,1.5669749999999998,1.170369,1.4586611111111114,1.0877578888888888,0.426869,0.3333333333333333,0.7222222222222222,0.7777777777777778,1.7249333333333334,3.25505,4.137627777777778,0.9923,0.0356,0.026299999999999997,pp_bias_plus_noise,84
2,18,1.3353,1.0057588125,1.2509833333333331,0.9376713333333332,0.39297150000000003,0.5555555555555556,0.6666666666666666,0.7777777777777778,1.5537611111111111,2.9073333333333333,3.6375611111111112,0.9908999999999999,0.0427,0.031000000000000003,pp_bias_plus_noise,56
2,18,0.8860374999999999,0.712037375,0.8465666666666667,0.6723041111111111,0.35443800000000003,0.6111111111111112,0.7777777777777778,0.8333333333333334,1.3777444444444447,2.56075,3.09565,0.9905500000000002,0.0434,0.0315,pp_bias_plus_noise,28
2,18,0.64138125,0.5645083125,0.6391055555555555,0.5463417222222222,0.401009,0.5555555555555556,0.7222222222222222,0.8333333333333334,1.2762444444444443,2.313972222222222,2.6993666666666662,0.9783000000000001,0.0818,0.0713,pp_bias_plus_noise,14
2,18,0.5895375,0.508647625,0.5831166666666666,0.4904208333333334,0.34460650000000004,0.6111111111111112,0.7777777777777778,0.8333333333333334,1.2993555555555556,2.2792611111111105,2.6157944444444445,0.9790500000000001,0.082,0.0689,pp_bias_plus_noise,7
