model,tier,target_year,horizon_days,seed,draws,k_outer,training_residual_years,es_9cat,es_8party,crps_8party_mean,crps_all9_mean,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,coverage_50_8party,coverage_80_8party,coverage_90_8party,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,min_lambda,p01_lambda,p10_lambda,fraction_lambda_lt_1,atom_index_counts,elapsed_seconds,mandate_law,first_divisor,seat_energy_score,seat_crps_8party_mean,seat_coverage_50,seat_coverage_80,seat_coverage_90,coalition_brier_mean_over_masks,complement_symmetry_max_abs_diff,complement_symmetry_holds,seat_total_always_349
CONTROL_pp_centered_noise,tier1,2022,14,12345,20000,5,2002|2006|2010|2014|2018,1.9587793614903537,1.9188163485708254,0.46935182440129053,0.4377902182751863,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3973|3928|4022|4030|4047,272.62,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,24680,20000,5,2002|2006|2010|2014|2018,1.9672115689410856,1.9280499890598117,0.4719965934317446,0.439924104020938,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3996|4025|4006|3988|3985,70.51,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,98765,20000,5,2002|2006|2010|2014|2018,1.9595038119038566,1.9200374551296733,0.4704026381310915,0.438500172157728,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3901|3969|4134|3962|4034,52.74,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,54321,20000,5,2002|2006|2010|2014|2018,1.9772235801664428,1.9388721322292988,0.474412134769843,0.44193236106009953,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4051|4088|3914|4048|3899,211.1,,,,,,,,,,,
CONTROL_pp_centered_noise,tier1,2022,14,13579,20000,5,2002|2006|2010|2014|2018,1.971665840348524,1.9328162889097658,0.47261779678073834,0.4404392044331703,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,0.125,0.625,0.625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4061|3997|4019|3973|3950,45.9,,,,,,,,,,,
CONTROL_pp_centered_noise,tier2,2018,112,12345,20000,4,2002|2006|2010|2014,3.9288515024896316,3.739274372110209,1.1038768982331564,1.1274829200501597,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.8244331474762643,3.4316367922495656,4.448547788402464,0.5,0.75,0.875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,182.6,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,112,12345,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,182.6,POST_2018,6/5,22.1584,6.4250750000000005,0.375,0.75,0.875,0.03250798612204724,2.220446049250313e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,112,24680,20000,4,2002|2006|2010|2014,3.9142247865282385,3.724436971549041,1.098617003123459,1.1223836370723723,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.83126695043314,3.4487350578866174,4.4507153927612215,0.5,0.75,0.875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,148.51,POST_2018,6/5,,,,,,,,,
CONTROL_pp_centered_noise,tier3,2018,112,24680,20000,4,2002|2006|2010|2014,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,148.51,POST_2018,6/5,22.0501,6.3864125000000005,0.375,0.75,0.875,0.032374153051181104,1.6653345369377348e-16,True,True
CONTROL_pp_centered_noise,tier2,2018,112,98765,20000,4,2002|2006|2010|2014,3.9137020607625463,3.723275278883466,1.0973636955169128,1.1214166710850983,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.8247180146746276,3.4414172572010227,4.438791013599514,0.5,0.75,0.875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,89.57,POST_2018,6/5,,,,,,,,,
