tier,case,metric,five_seed_mean,five_seed_sd,relative_sd_pct,n_seeds
tier1,2014,es_9cat,3.5671053023332275,0.0017743434850667954,0.04974183083146453,5
tier1,2014,es_8party,3.5210117013093267,0.0015445282275549416,0.04386603506544985,5
tier1,2014,crps_8party_mean,0.9744144844875968,0.0007507522525867644,0.07704649967119004,5
tier1,2014,crps_all9_mean,0.923459610597483,0.0009141311434109484,0.09898983484718957,5
tier1,2014,coverage_50,0.3333333333333333,0.0,0.0,5
tier1,2014,coverage_80,0.3333333333333333,0.0,0.0,5
tier1,2014,coverage_90,0.3333333333333333,0.0,0.0,5
tier1,2014,mean_width_50,1.5498235432098757,0.0,0.0,5
tier1,2014,mean_width_80,1.5498235432098757,0.0,0.0,5
tier1,2014,mean_width_90,1.5498235432098757,0.0,0.0,5
tier1,2014,mean_lambda,1.0,0.0,0.0,5
tier1,2018,es_9cat,3.8657101829679887,0.0019734816905059497,0.05105094787501021,5
tier1,2018,es_8party,3.618990102886386,0.001525326161201469,0.04214784008347853,5
tier1,2018,crps_8party_mean,0.8854480949313273,0.0005247324850140427,0.05926180066542911,5
tier1,2018,crps_all9_mean,0.9484232741531526,0.0006154560742510784,0.06489255283202737,5
tier1,2018,coverage_50,0.31111111111111106,0.049690399499995326,15.9719141249985,5
tier1,2018,coverage_80,0.4444444444444445,0.0,0.0,5
tier1,2018,coverage_90,0.4444444444444445,0.0,0.0,5
tier1,2018,mean_width_50,1.279273943209876,0.4743007659403496,37.075777901820075,5
tier1,2018,mean_width_80,1.8888171234567896,0.0,0.0,5
tier1,2018,mean_width_90,1.8888171234567896,0.0,0.0,5
tier1,2018,mean_lambda,1.0,0.0,0.0,5
tier1,2022,es_9cat,1.9668768325700525,0.00790620486381541,0.40196746094592184,5
tier1,2022,es_8party,1.9277184427798748,0.008496287410147376,0.44074317190716233,5
tier1,2022,crps_8party_mean,0.4717561975029416,0.00196642310228922,0.4168303697328658,5
tier1,2022,crps_all9_mean,0.43971721198942443,0.0016329002980503369,0.3713523722809398,5
tier1,2022,coverage_50,0.22222222222222224,0.0,0.0,5
tier1,2022,coverage_80,0.6666666666666666,0.0,0.0,5
tier1,2022,coverage_90,0.6666666666666666,0.0,0.0,5
tier1,2022,mean_width_50,1.000822567901234,0.0,0.0,5
tier1,2022,mean_width_80,2.3077046913580244,0.0,0.0,5
tier1,2022,mean_width_90,2.3077046913580244,0.0,0.0,5
tier1,2022,mean_lambda,1.0,0.0,0.0,5
tier2,2018_h112,es_9cat,3.9198182221788174,0.00826963501082817,0.21096985987864314,5
tier2,2018_h112,es_8party,3.730418495901838,0.00888559142262505,0.23819288458886262,5
tier2,2018_h112,crps_8party_mean,1.099901858945551,0.0028297842004341225,0.25727606307957035,5
tier2,2018_h112,crps_all9_mean,1.1234042910808149,0.002598308888651651,0.23128885204380398,5
tier2,2018_h112,coverage_50,0.4444444444444445,0.0,0.0,5
tier2,2018_h112,coverage_80,0.6666666666666666,0.0,0.0,5
tier2,2018_h112,coverage_90,0.7777777777777778,0.0,0.0,5
tier2,2018_h112,mean_width_50,1.8296672266008716,0.005065773740145619,0.27686858388761426,5
tier2,2018_h112,mean_width_80,3.4428837579320173,0.007466901601946402,0.2168792828030717,5
tier2,2018_h112,mean_width_90,4.451346712125773,0.010317371115020624,0.23178089199197627,5
tier2,2018_h112,mean_lambda,1.0,0.0,0.0,5
tier2,2018_h84,es_9cat,4.388027140357577,0.012149248621931995,0.27687268636497,5
tier2,2018_h84,es_8party,4.269458063452399,0.01229744728023045,0.28803297977088926,5
tier2,2018_h84,crps_8party_mean,1.2645792349310632,0.00406717320919213,0.32162264703119586,5
tier2,2018_h84,crps_all9_mean,1.2387525783877478,0.0036215987330778638,0.2923585222959875,5
tier2,2018_h84,coverage_50,0.3333333333333333,0.0,0.0,5
tier2,2018_h84,coverage_80,0.5333333333333334,0.04969039949999535,9.316949906249125,5
tier2,2018_h84,coverage_90,0.6666666666666666,0.0,0.0,5
tier2,2018_h84,mean_width_50,1.660320735690369,0.006038259726210739,0.3636803176887387,5
tier2,2018_h84,mean_width_80,3.114534348729007,0.012989165150568088,0.4170499887364788,5
tier2,2018_h84,mean_width_90,3.9719785116611215,0.017975519678305074,0.45255833145954083,5
tier2,2018_h84,mean_lambda,1.0,0.0,0.0,5
tier2,2018_h56,es_9cat,4.40715688359402,0.009572696227170092,0.2172079751189523,5
tier2,2018_h56,es_8party,4.302627729767747,0.009984667184786517,0.23205975073575522,5
tier2,2018_h56,crps_8party_mean,1.2685770013338664,0.0018836716982130618,0.14848698157324652,5
tier2,2018_h56,crps_all9_mean,1.2328585117110546,0.0015646362109849154,0.12691125511340262,5
tier2,2018_h56,coverage_50,0.3333333333333333,0.0,0.0,5
tier2,2018_h56,coverage_80,0.4444444444444445,0.0,0.0,5
tier2,2018_h56,coverage_90,0.4444444444444445,0.0,0.0,5
tier2,2018_h56,mean_width_50,1.5076965813724912,0.006750483026110241,0.4477348499367903,5
tier2,2018_h56,mean_width_80,2.758557022006195,0.007824851147510456,0.2836574007746897,5
tier2,2018_h56,mean_width_90,3.4389988923438937,0.009232829639102881,0.26847434175269913,5
tier2,2018_h56,mean_lambda,1.0,0.0,0.0,5
tier2,2018_h28,es_9cat,3.7534624429580554,0.0024570667841712656,0.06546133927038532,5
tier2,2018_h28,es_8party,3.6505739694674104,0.0020577665298101558,0.05636830117731781,5
