tier,target_year,horizon_days,seed,mean_lambda,min_lambda,p01_lambda,p05_lambda,p10_lambda,fraction_lambda_lt_1,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75
tier3,2018,14,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,7,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,7,12345,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,7,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,7,24680,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,7,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,7,98765,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,7,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,7,54321,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2018,7,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier3,2018,7,13579,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
tier2,2022,112,12345,0.9995,0.5633407086614486,1.0,1.0,1.0,0.00345,0.0034,0.002,0.0004
tier3,2022,112,12345,0.9995,0.5633407086614486,1.0,1.0,1.0,0.00345,0.0034,0.002,0.0004
tier2,2022,112,24680,0.9996,0.5492298554215309,1.0,1.0,1.0,0.0029,0.0028,0.0016,0.0008
tier3,2022,112,24680,0.9996,0.5492298554215309,1.0,1.0,1.0,0.0029,0.0028,0.0016,0.0008
tier2,2022,112,98765,0.9997,0.5321413221756648,1.0,1.0,1.0,0.002,0.0019,0.0014,0.0005
tier3,2022,112,98765,0.9997,0.5321413221756648,1.0,1.0,1.0,0.002,0.0019,0.0014,0.0005
tier2,2022,112,54321,0.9994,0.5561777102331713,1.0,1.0,1.0,0.00355,0.0035,0.0022,0.001
tier3,2022,112,54321,0.9994,0.5561777102331713,1.0,1.0,1.0,0.00355,0.0035,0.0022,0.001
tier2,2022,112,13579,0.9995,0.5406280139501787,1.0,1.0,1.0,0.0034,0.0032,0.0016,0.0006
tier3,2022,112,13579,0.9995,0.5406280139501787,1.0,1.0,1.0,0.0034,0.0032,0.0016,0.0006
tier2,2022,84,12345,0.9992,0.4968658355571119,1.0,1.0,1.0,0.0064,0.006,0.0029,0.0009
tier3,2022,84,12345,0.9992,0.4968658355571119,1.0,1.0,1.0,0.0064,0.006,0.0029,0.0009
tier2,2022,84,24680,0.9988,0.4780600541745818,1.0,1.0,1.0,0.0081,0.0077,0.0047,0.0019
tier3,2022,84,24680,0.9988,0.4780600541745818,1.0,1.0,1.0,0.0081,0.0077,0.0047,0.0019
tier2,2022,84,98765,0.9989,0.5076001572684089,1.0,1.0,1.0,0.00695,0.0067,0.0044,0.0017
tier3,2022,84,98765,0.9989,0.5076001572684089,1.0,1.0,1.0,0.00695,0.0067,0.0044,0.0017
tier2,2022,84,54321,0.9991,0.4676111343052829,1.0,1.0,1.0,0.0064,0.006,0.0036,0.0011
tier3,2022,84,54321,0.9991,0.4676111343052829,1.0,1.0,1.0,0.0064,0.006,0.0036,0.0011
tier2,2022,84,13579,0.9989,0.3415494844982148,1.0,1.0,1.0,0.00745,0.0069,0.0039,0.0014
tier3,2022,84,13579,0.9989,0.3415494844982148,1.0,1.0,1.0,0.00745,0.0069,0.0039,0.0014
tier2,2022,56,12345,0.9991,0.4615222311454081,1.0,1.0,1.0,0.00755,0.0072,0.0035,0.0011
tier3,2022,56,12345,0.9991,0.4615222311454081,1.0,1.0,1.0,0.00755,0.0072,0.0035,0.0011
tier2,2022,56,24680,0.9989,0.4538800046056243,1.0,1.0,1.0,0.0081,0.0076,0.004,0.0015
tier3,2022,56,24680,0.9989,0.4538800046056243,1.0,1.0,1.0,0.0081,0.0076,0.004,0.0015
tier2,2022,56,98765,0.9989,0.5224591189908026,1.0,1.0,1.0,0.00825,0.0075,0.0041,0.0013
tier3,2022,56,98765,0.9989,0.5224591189908026,1.0,1.0,1.0,0.00825,0.0075,0.0041,0.0013
tier2,2022,56,54321,0.9989,0.41977726920362346,1.0,1.0,1.0,0.0084,0.0081,0.0047,0.001
tier3,2022,56,54321,0.9989,0.41977726920362346,1.0,1.0,1.0,0.0084,0.0081,0.0047,0.001
tier2,2022,56,13579,0.9989,0.5522435474685847,1.0,1.0,1.0,0.00815,0.0075,0.004,0.0011
tier3,2022,56,13579,0.9989,0.5522435474685847,1.0,1.0,1.0,0.00815,0.0075,0.004,0.0011
tier2,2022,28,12345,0.9985,0.48854266520990847,0.9924355400300077,1.0,1.0,0.01045,0.0098,0.0057,0.0018
tier3,2022,28,12345,0.9985,0.48854266520990847,0.9924355400300077,1.0,1.0,0.01045,0.0098,0.0057,0.0018
