model,tier,target_year,es_9cat,es_8party,crps_8party_mean,crps_all9_mean,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,mean_lambda,seat_energy_score,seat_crps_8party_mean,seat_coverage_50,seat_coverage_80,seat_coverage_90,coalition_brier_mean_over_masks
CONTROL_pp_centered_noise,tier1,2014,3.5671053023332275,3.5210117013093267,0.9744144844875968,0.923459610597483,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5498235432098757,1.5498235432098757,1.5498235432098757,1.0,,,,,,
CONTROL_pp_centered_noise,tier1,2018,3.8657101829679887,3.618990102886386,0.8854480949313273,0.9484232741531526,0.31111111111111106,0.4444444444444445,0.4444444444444445,1.279273943209876,1.8888171234567896,1.8888171234567896,1.0,,,,,,
CONTROL_pp_centered_noise,tier1,2022,1.9668768325700525,1.9277184427798748,0.4717561975029416,0.43971721198942443,0.22222222222222224,0.6666666666666666,0.6666666666666666,1.000822567901234,2.3077046913580244,2.3077046913580244,1.0,,,,,,
CONTROL_pp_centered_noise,tier2,2018,3.5308151753400225,3.418021367726895,0.9863959978880436,0.9753204117784801,0.35185185185185186,0.5518518518518519,0.6296296296296297,1.4905082803033343,2.6908199667768145,3.3119514104588217,1.0,,,,,,
CONTROL_pp_centered_noise,tier2,2022,2.205855786722397,2.1912971578368587,0.6176943092748016,0.5741157949522054,0.5370370370370371,0.8518518518518517,0.9074074074074074,1.5576551188825547,2.9955676661056567,3.72008048131978,0.9983966666666667,,,,,,
CONTROL_pp_centered_noise,tier3,2018,,,,,,,,,,,,15.899413333333333,4.5861075,0.39999999999999997,0.6875,0.7833333333333333,0.020517793568241467
CONTROL_pp_centered_noise,tier3,2022,,,,,,,,,,,,10.00559,2.85886125,0.5458333333333333,0.875,0.9166666666666666,0.025287288029527556
