forecast_cases_count,party_rows_count,MAE_8parties,mean_CRPS_8parties,MAE_all9,mean_CRPS_all9,REST_CRPS,EnergyScore_all9,coverage_50,coverage_80,coverage_90,mean_width_50,mean_width_80,mean_width_90,mean_lambda,fraction_lambda_lt_0_90,model,horizon_days
2,18,1.47989375,1.0226904375,1.4369055555555557,1.0031118333333333,0.846483,3.5388409999999997,0.3888888888888889,0.7222222222222222,0.8333333333333334,1.8932777777777778,3.6065722222222223,4.687427777777779,0.9998,0.0008000000000000001,pp_centered_noise,112
2,18,1.48866875,1.085581625,1.412366666666667,1.0356640000000001,0.636323,3.758369,0.3333333333333333,0.6111111111111112,0.7222222222222222,1.7196444444444445,3.260555555555556,4.176433333333334,0.9994000000000001,0.00235,pp_centered_noise,84
2,18,1.3301625000000001,0.9885420625000001,1.2609055555555555,0.9426631666666666,0.575632,3.4734345,0.3333333333333333,0.6111111111111112,0.6666666666666666,1.5604111111111112,2.909261111111111,3.6482888888888882,0.99945,0.002,pp_centered_noise,56
2,18,1.07100625,0.7782523125,1.0251055555555555,0.7515234444444445,0.5376925,2.8151150000000005,0.3888888888888889,0.6666666666666666,0.6666666666666666,1.384838888888889,2.5724111111111108,3.125705555555556,0.9993000000000001,0.00265,pp_centered_noise,28
2,18,0.75229375,0.5325353125000001,0.7245833333333334,0.5197763888888889,0.417705,2.014911,0.5555555555555556,0.7222222222222222,0.8333333333333334,1.3193166666666665,2.378938888888889,2.7723500000000003,0.9984999999999999,0.0061,pp_centered_noise,14
2,18,0.5660749999999999,0.404718625,0.54785,0.39531916666666667,0.3201235,1.6098255000000001,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.3287666666666667,2.3279944444444443,2.670472222222222,0.9985999999999999,0.005900000000000001,pp_centered_noise,7
2,18,1.45305625,0.9768982500000001,1.4115722222222222,0.9572332777777777,0.7999135,3.5557565,0.5,0.8333333333333334,0.8888888888888888,2.3460777777777775,4.382766666666666,5.569227777777779,0.9980499999999998,0.00715,pp_symmetric_noise,112
2,18,1.45389375,1.0275395,1.3799333333333332,0.9806627222222224,0.6056485,3.7312934999999996,0.4444444444444444,0.7222222222222222,0.8888888888888888,2.185994444444444,4.067377777777778,5.120105555555556,0.9959500000000001,0.01425,pp_symmetric_noise,84
2,18,1.31405625,0.94508475,1.2443777777777774,0.9006173333333334,0.544878,3.4401790000000005,0.4444444444444444,0.7222222222222222,0.8888888888888888,2.0470777777777776,3.774511111111111,4.681349999999999,0.9954000000000001,0.0163,pp_symmetric_noise,56
2,18,1.0995625,0.7579100000000001,1.0492499999999998,0.7304984444444445,0.511206,2.743345,0.4444444444444444,0.8333333333333334,0.8888888888888888,1.9048222222222222,3.5390444444444444,4.3101722222222225,0.9951500000000001,0.0162,pp_symmetric_noise,28
2,18,0.7805374999999999,0.556212875,0.7543333333333333,0.5388232777777778,0.3997065,2.057109,0.6666666666666666,0.8888888888888888,0.9444444444444444,1.7968666666666668,3.4452277777777778,4.088394444444444,0.9899500000000001,0.03295,pp_symmetric_noise,14
2,18,0.5633312500000001,0.45611543749999994,0.5499722222222222,0.4408523333333333,0.31874749999999996,1.7209124999999998,0.7222222222222222,1.0,1.0,1.772688888888889,3.4605055555555557,4.058461111111111,0.9896499999999998,0.0343,pp_symmetric_noise,7
