election_date,election_year,origin_date,horizon_days,model,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,energy_score,inside_50,inside_80,inside_90,width_50,width_80,width_90,mean_lambda,p05_lambda,fraction_lambda_lt_0_99,fraction_lambda_lt_0_90,fraction_lambda_lt_0_75,training_elections_count,training_elections,seed,samples
2018-09-09,2018,2018-05-20,112,pp_centered_noise,M,True,19.8356,21.6397,16.6182,17.413,19.6038,21.618,23.703,25.5121,27.5028,27.16,1.7824,1.148082,3.90067,True,True,True,4.0992,8.099,10.8847,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,L,True,5.4896,4.7045,3.3683,3.5651,3.9836,4.5789,5.4074,6.0285,6.3223,77.34,0.9107,0.499243,3.90067,False,True,True,1.4237,2.4633,2.954,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,C,True,8.6077,9.3597,6.9374,7.5514,8.3764,9.3056,10.2552,11.1744,12.0109,30.37,0.6978,0.4686,3.90067,True,True,True,1.8788,3.623,5.0736,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,KD,True,6.3223,3.0892,2.4102,2.5488,2.8056,3.0905,3.3744,3.6241,3.7648,100.0,3.2318,3.000901,3.90067,False,False,False,0.5689,1.0753,1.3546,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,S,True,28.261,25.6197,22.9589,23.4349,24.2956,25.5878,26.6984,28.1612,28.8806,90.72,2.6732,1.775716,3.90067,False,False,True,2.4028,4.7264,5.9217,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,V,True,8.0049,8.4676,7.0495,7.3022,7.8286,8.559,9.0936,9.4757,9.7176,30.57,0.5541,0.325022,3.90067,True,True,True,1.2651,2.1735,2.6681,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,MP,True,4.4143,4.2173,2.8525,3.0748,3.5432,4.2637,4.872,5.2634,5.512,55.35,0.1505,0.236661,3.90067,True,True,True,1.3288,2.1887,2.6594,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,SD,True,17.534,19.7952,16.4041,17.1348,18.3113,19.6962,21.1835,22.6315,23.4192,14.1,2.1622,1.334711,3.90067,False,True,True,2.8721,5.4967,7.0151,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_centered_noise,REST,False,1.5307,3.1072,2.366,2.5123,2.7782,3.0957,3.4202,3.705,3.8912,0.0,1.5651,1.312517,3.90067,False,False,False,0.642,1.1927,1.5252,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,M,True,19.8356,21.6439,16.4495,17.5346,19.5435,21.5372,23.6253,25.8832,27.3506,28.3,1.7016,1.097833,3.883248,True,True,True,4.0817,8.3485,10.9011,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,L,True,5.4896,4.7069,3.1596,3.3952,3.9087,4.7137,5.4837,6.0111,6.2636,75.23,0.7758,0.458335,3.883248,False,True,True,1.575,2.616,3.104,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,C,True,8.6077,9.3558,6.8878,7.4424,8.3412,9.3046,10.2786,11.2868,12.0597,31.43,0.6969,0.472255,3.883248,True,True,True,1.9374,3.8444,5.1719,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,KD,True,6.3223,3.0879,1.8113,1.9968,2.35,3.0931,3.8143,4.1878,4.3818,100.0,3.2292,2.748724,3.883248,False,False,False,1.4643,2.1909,2.5705,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,S,True,28.261,25.6278,21.2821,22.4112,23.694,25.587,27.5377,28.9433,29.9869,83.84,2.6739,1.580819,3.883248,False,True,True,3.8437,6.5321,8.7048,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,V,True,8.0049,8.4621,6.3998,6.7619,7.6328,8.4623,9.3049,10.1393,10.501,34.29,0.4574,0.361106,3.883248,True,True,True,1.6721,3.3774,4.1012,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,MP,True,4.4143,4.2064,2.1094,2.433,3.2759,4.1924,5.1653,5.9593,6.2753,57.35,0.2219,0.329134,3.883248,True,True,True,1.8895,3.5264,4.1658,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,SD,True,17.534,19.8048,15.7333,16.571,18.0473,19.7689,21.4804,23.1101,24.0603,18.94,2.235,1.331325,3.883248,False,True,True,3.4331,6.5391,8.3269,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-05-20,112,pp_symmetric_noise,REST,False,1.5307,3.1045,2.077,2.2628,2.6362,3.0934,3.5619,3.949,4.1537,0.2,1.5627,1.20948,3.883248,False,False,False,0.9258,1.6861,2.0767,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,M,True,19.8356,20.4989,16.1687,16.8874,18.8793,20.5615,22.3267,23.5731,24.6419,38.85,0.7259,0.689873,4.41252,True,True,True,3.4474,6.6856,8.4732,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,L,True,5.4896,4.9061,3.6025,3.7861,4.2108,4.7759,5.5929,6.2005,6.4975,72.14,0.7137,0.401514,4.41252,True,True,True,1.3821,2.4144,2.895,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,C,True,8.6077,9.4469,7.4833,7.9767,8.6535,9.4037,10.1652,10.9337,11.6353,23.83,0.7959,0.482944,4.41252,False,True,True,1.5117,2.9571,4.152,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,KD,True,6.3223,3.004,2.3355,2.4717,2.7203,3.0124,3.284,3.519,3.6588,100.0,3.3099,3.090521,4.41252,False,False,False,0.5637,1.0473,1.3232,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,S,True,28.261,25.0542,22.5305,23.0542,23.8967,24.9336,26.1005,27.3605,28.0018,96.54,3.3274,2.319666,4.41252,False,False,False,2.2037,4.3063,5.4713,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,V,True,8.0049,9.1754,7.7388,7.9953,8.5376,9.242,9.8066,10.2453,10.5043,10.18,1.2371,0.749683,4.41252,False,True,True,1.269,2.25,2.7656,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
2018-09-09,2018,2018-06-17,84,pp_centered_noise,MP,True,4.4143,4.4061,3.0786,3.2958,3.7381,4.446,5.0493,5.4437,5.6831,48.97,0.0317,0.224589,4.41252,True,True,True,1.3113,2.1479,2.6044,1.0,1.0,0.0,0.0,0.0,4,"[2002, 2006, 2010, 2014]",24680,20000
