election_date,election_year,origin_date,horizon_days,model,party,is_parliamentary,actual,forecast_mean,p05,p10,p25,p50,p75,p90,p95,actual_percentile,absolute_error,crps,inside_50,inside_80,inside_90,width_50,width_80,width_90,samples_count,eligible_transition_count
2022-09-11,2022,2022-09-04,7,point_persistence,M,True,19.1021,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,100.0,0.7021,0.702095,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,L,True,4.6086,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0.0,0.2914,0.291427,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,C,True,6.7142,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,100.0,0.0142,0.014218,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,KD,True,5.3367,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,0.0,0.2633,0.263266,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,S,True,30.3255,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,100.0,0.1255,0.125457,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,V,True,6.7467,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,0.0,0.8533,0.853288,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,MP,True,5.0825,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,0.0,0.1175,0.117513,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,SD,True,20.5361,20.1,20.1,20.1,20.1,20.1,20.1,20.1,20.1,100.0,0.4361,0.43614,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,point_persistence,REST,False,1.5476,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,100.0,0.2476,0.247584,False,False,False,0.0,0.0,0.0,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,M,True,19.1021,18.3963,18.1114,18.2034,18.2949,18.3973,18.5049,18.6002,18.6706,100.0,0.7048,0.607451,False,False,False,0.21,0.3968,0.5592,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,L,True,4.6086,4.9137,4.7281,4.7747,4.8932,4.9008,5.0017,5.0619,5.0842,1.5,0.2922,0.248371,False,False,False,0.1084,0.2873,0.3561,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,C,True,6.7142,6.7129,6.5907,6.6098,6.6892,6.7017,6.7794,6.8125,6.8567,67.0,0.0125,0.016628,True,True,True,0.0902,0.2027,0.266,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,KD,True,5.3367,5.5996,5.4324,5.4482,5.5214,5.5993,5.6084,5.761,5.7788,2.5,0.2625,0.204314,False,False,False,0.087,0.3128,0.3464,200,2905
2022-09-11,2022,2022-09-04,7,dynamics_only,S,True,30.3255,30.1665,29.7059,29.8736,30.0199,30.1776,30.3139,30.4377,30.536,79.0,0.1478,0.092534,False,True,True,0.294,0.5641,0.8302,200,2905
